Average PPC and PSC Cement,ec3fbubk,,,,,
Fibre cement product - Greencor roofing sheet,ec35dj6z,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average Ground Granulated Blast- Furnace Slag,ec3yhszz,,,,,
S-P-06083 Vnext- Fiber Cement Boards,ec3rtwuh,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
S-P-06084 Vnext Panels,ec3me6fs,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
Fibre cement product -  Hicem Fibre Cement Board 4 mm,ec38qmrf,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hilux Calcium Silicate Board 6 mm,ec3z0kdy,343001,Jalore,"Keshwana, Rajasthan 343001, India",25.3706561,72.4944036
ACC F2R Superfast Cement,ec3xr1bz,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC HPC Long Life Cement,ec3zr79d,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC Suraksha Power Cement,ec3h4eb2,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC Concrete+ Xtra Strong Cement,ec3k8r1n,,Chandrapur,"Cement Nagar, Chandrapur, Maharashtra, India",19.9680375,79.30394989999999
ACC Suraksha Power Cement,ec327epg,,Chandrapur,"Cement Nagar, Chandrapur, Maharashtra, India",19.9680375,79.30394989999999
ACC F2R Superfast Cement,ec3sfn94,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC HPC Long Life Cement,ec3kmg78,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC Suraksha Power Cement,ec3zzuhf,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC Concrete+ Xtra Strong Cement,ec3uj6jp,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Gold Water Shield Cement,ec3c4xhn,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Suraksha Power Cement,ec3z1f17,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Suraksha Power Cement,ec3k9udz,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC F2R Superfast Cement,ec3zxsj1,490024,Durg,"Nakapara, Jamul, Chhattisgarh 490024, India",21.2518451,81.3866812
ACC Gold Water Shield Cement,ec3u0j8j,483880,Jabalpur,"3J58+R8V, Kymore, Madhya Pradesh 483880, India",24.0596099,80.6157986
ACC HPC Long Life Cement,ec3t4xqj,490024,Durg,"Nakapara, Jamul, Chhattisgarh 490024, India",21.2518451,81.3866812
ACC Suraksha Power Cement,ec3yp9jp,483880,Jabalpur,"3J58+R8V, Kymore, Madhya Pradesh 483880, India",24.0596099,80.6157986
ACC Concrete+ Xtra Strong Cement,ec3gr06m,,Bundi,"Lakheri, Rajasthan, India",25.6649505,76.18127199999999
ACC Suraksha Power Cement,ec3zwyk0,,Bundi,"Lakheri, Rajasthan, India",25.6649505,76.18127199999999
ACC F2R Superfast Cement,ec34x7p7,,Coimbatore,"Madukkarai, Tamil Nadu, India",10.9144962,76.948555
ACC Suraksha Power Cement,ec3ecnb7,,Coimbatore,"Madukkarai, Tamil Nadu, India",10.9144962,76.948555
ACC HPC Long Life Cement,ec3g99u7,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Concrete+ Xtra Strong Cement,ec3dq4fk,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Suraksha Power Cement,ec32m412,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Concrete+ Xtra Strong Cement,ec3hthyu,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC HPC Long Life Cement,ec3pk1eg,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC F2R Superfast Cement,ec3bxee2,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC Suraksha Power Cement,ec3bka2x,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC HPC Long Life Cement,ec38sb6k,828122,Dhanbad,"ACC Colony, Sindri, Jharkhand 828122, India",23.6691481,86.4971911
ACC F2R Superfast Cement,ec3er2yw,828122,Dhanbad,"ACC Colony, Sindri, Jharkhand 828122, India",23.6691481,86.4971911
ACC Concrete+ Xtra Strong Cement,ec3kj2d4,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Gold Water Shield Cement,ec3j2c7d,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Suraksha Power Cement,ec3baebt,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Concrete+ Xtra Strong Cement,ec3y5129,563101,Kolar,"Bamboo Bazar Rd, Raja Nagar, Kolar, Karnataka 563101, India",13.1425994,78.1330158
ACC Suraksha Power Cement,ec3wza9k,563101,Kolar,"Bamboo Bazar Rd, Raja Nagar, Kolar, Karnataka 563101, India",13.1425994,78.1330158
ACC HPC Long Life Cement,ec3akfb2,583116,,"SH 132, 583116, India",15.2869511,76.80526139999999
ACC F2R Superfast Cement,ec3sqwnk,583116,,"SH 132, 583116, India",15.2869511,76.80526139999999
ACC HPC Long Life Cement,ec3tjwn4,,Vishakhapatnam,"P563+4XC Visakhapatnam, Andhra Pradesh, India",17.7103125,83.1548906
ACC F2R Superfast Cement,ec3ae6c0,,Vishakhapatnam,"P563+4XC Visakhapatnam, Andhra Pradesh, India",17.7103125,83.1548906
Fibre cement product -  Hicem Fibre Cement Board 6 mm,ec3aggtn,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hicem Fibre Cement Board 8 mm,ec3a1qk9,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average PPC and PSC Cement,ec3fbubk,,,,,
Fibre cement product - Greencor roofing sheet,ec35dj6z,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average Ground Granulated Blast- Furnace Slag,ec3yhszz,,,,,
S-P-06083 Vnext- Fiber Cement Boards,ec3rtwuh,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
S-P-06084 Vnext Panels,ec3me6fs,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
Fibre cement product -  Hicem Fibre Cement Board 4 mm,ec38qmrf,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hilux Calcium Silicate Board 6 mm,ec3z0kdy,343001,Jalore,"Keshwana, Rajasthan 343001, India",25.3706561,72.4944036
ACC F2R Superfast Cement,ec3xr1bz,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC HPC Long Life Cement,ec3zr79d,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC Suraksha Power Cement,ec3h4eb2,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC Concrete+ Xtra Strong Cement,ec3k8r1n,,Chandrapur,"Cement Nagar, Chandrapur, Maharashtra, India",19.9680375,79.30394989999999
ACC Suraksha Power Cement,ec327epg,,Chandrapur,"Cement Nagar, Chandrapur, Maharashtra, India",19.9680375,79.30394989999999
ACC F2R Superfast Cement,ec3sfn94,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC HPC Long Life Cement,ec3kmg78,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC Suraksha Power Cement,ec3zzuhf,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC Concrete+ Xtra Strong Cement,ec3uj6jp,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Gold Water Shield Cement,ec3c4xhn,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Suraksha Power Cement,ec3z1f17,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Suraksha Power Cement,ec3k9udz,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC F2R Superfast Cement,ec3zxsj1,490024,Durg,"Nakapara, Jamul, Chhattisgarh 490024, India",21.2518451,81.3866812
ACC Gold Water Shield Cement,ec3u0j8j,483880,Jabalpur,"3J58+R8V, Kymore, Madhya Pradesh 483880, India",24.0596099,80.6157986
ACC HPC Long Life Cement,ec3t4xqj,490024,Durg,"Nakapara, Jamul, Chhattisgarh 490024, India",21.2518451,81.3866812
ACC Suraksha Power Cement,ec3yp9jp,483880,Jabalpur,"3J58+R8V, Kymore, Madhya Pradesh 483880, India",24.0596099,80.6157986
ACC Concrete+ Xtra Strong Cement,ec3gr06m,,Bundi,"Lakheri, Rajasthan, India",25.6649505,76.18127199999999
ACC Suraksha Power Cement,ec3zwyk0,,Bundi,"Lakheri, Rajasthan, India",25.6649505,76.18127199999999
ACC F2R Superfast Cement,ec34x7p7,,Coimbatore,"Madukkarai, Tamil Nadu, India",10.9144962,76.948555
ACC Suraksha Power Cement,ec3ecnb7,,Coimbatore,"Madukkarai, Tamil Nadu, India",10.9144962,76.948555
ACC HPC Long Life Cement,ec3g99u7,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Concrete+ Xtra Strong Cement,ec3dq4fk,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Suraksha Power Cement,ec32m412,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Concrete+ Xtra Strong Cement,ec3hthyu,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC HPC Long Life Cement,ec3pk1eg,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC F2R Superfast Cement,ec3bxee2,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC Suraksha Power Cement,ec3bka2x,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC HPC Long Life Cement,ec38sb6k,828122,Dhanbad,"ACC Colony, Sindri, Jharkhand 828122, India",23.6691481,86.4971911
ACC F2R Superfast Cement,ec3er2yw,828122,Dhanbad,"ACC Colony, Sindri, Jharkhand 828122, India",23.6691481,86.4971911
ACC Concrete+ Xtra Strong Cement,ec3kj2d4,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Gold Water Shield Cement,ec3j2c7d,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Suraksha Power Cement,ec3baebt,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Concrete+ Xtra Strong Cement,ec3y5129,563101,Kolar,"Bamboo Bazar Rd, Raja Nagar, Kolar, Karnataka 563101, India",13.1425994,78.1330158
ACC Suraksha Power Cement,ec3wza9k,563101,Kolar,"Bamboo Bazar Rd, Raja Nagar, Kolar, Karnataka 563101, India",13.1425994,78.1330158
ACC HPC Long Life Cement,ec3akfb2,583116,,"SH 132, 583116, India",15.2869511,76.80526139999999
ACC F2R Superfast Cement,ec3sqwnk,583116,,"SH 132, 583116, India",15.2869511,76.80526139999999
ACC HPC Long Life Cement,ec3tjwn4,,Vishakhapatnam,"P563+4XC Visakhapatnam, Andhra Pradesh, India",17.7103125,83.1548906
ACC F2R Superfast Cement,ec3ae6c0,,Vishakhapatnam,"P563+4XC Visakhapatnam, Andhra Pradesh, India",17.7103125,83.1548906
Fibre cement product -  Hicem Fibre Cement Board 6 mm,ec3aggtn,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hicem Fibre Cement Board 8 mm,ec3a1qk9,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average PPC and PSC Cement,ec3fbubk,,,,,
Fibre cement product - Greencor roofing sheet,ec35dj6z,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average Ground Granulated Blast- Furnace Slag,ec3yhszz,,,,,
S-P-06083 Vnext- Fiber Cement Boards,ec3rtwuh,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
S-P-06084 Vnext Panels,ec3me6fs,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
Fibre cement product -  Hicem Fibre Cement Board 4 mm,ec38qmrf,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hilux Calcium Silicate Board 6 mm,ec3z0kdy,343001,Jalore,"Keshwana, Rajasthan 343001, India",25.3706561,72.4944036
ACC F2R Superfast Cement,ec3xr1bz,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC HPC Long Life Cement,ec3zr79d,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC Suraksha Power Cement,ec3h4eb2,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
ACC Concrete+ Xtra Strong Cement,ec3k8r1n,,Chandrapur,"Cement Nagar, Chandrapur, Maharashtra, India",19.9680375,79.30394989999999
ACC Suraksha Power Cement,ec327epg,,Chandrapur,"Cement Nagar, Chandrapur, Maharashtra, India",19.9680375,79.30394989999999
ACC F2R Superfast Cement,ec3sfn94,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC HPC Long Life Cement,ec3kmg78,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC Suraksha Power Cement,ec3zzuhf,833215,West Singhbhum,"CQ76+R2C, Jhinkpani, Jorapokhar, Jharkhand 833215, India",22.4145647,85.76002500000001
ACC Concrete+ Xtra Strong Cement,ec3uj6jp,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Gold Water Shield Cement,ec3c4xhn,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Suraksha Power Cement,ec3z1f17,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC Suraksha Power Cement,ec3k9udz,176213,Kangra,"Gagal, Himachal Pradesh 176213, India",32.1645484,76.2261852
ACC F2R Superfast Cement,ec3zxsj1,490024,Durg,"Nakapara, Jamul, Chhattisgarh 490024, India",21.2518451,81.3866812
ACC Gold Water Shield Cement,ec3u0j8j,483880,Jabalpur,"3J58+R8V, Kymore, Madhya Pradesh 483880, India",24.0596099,80.6157986
ACC HPC Long Life Cement,ec3t4xqj,490024,Durg,"Nakapara, Jamul, Chhattisgarh 490024, India",21.2518451,81.3866812
ACC Suraksha Power Cement,ec3yp9jp,483880,Jabalpur,"3J58+R8V, Kymore, Madhya Pradesh 483880, India",24.0596099,80.6157986
ACC Concrete+ Xtra Strong Cement,ec3gr06m,,Bundi,"Lakheri, Rajasthan, India",25.6649505,76.18127199999999
ACC Suraksha Power Cement,ec3zwyk0,,Bundi,"Lakheri, Rajasthan, India",25.6649505,76.18127199999999
ACC F2R Superfast Cement,ec34x7p7,,Coimbatore,"Madukkarai, Tamil Nadu, India",10.9144962,76.948555
ACC Suraksha Power Cement,ec3ecnb7,,Coimbatore,"Madukkarai, Tamil Nadu, India",10.9144962,76.948555
ACC HPC Long Life Cement,ec3g99u7,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Concrete+ Xtra Strong Cement,ec3dq4fk,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Suraksha Power Cement,ec32m412,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC Concrete+ Xtra Strong Cement,ec3hthyu,585225,Gulbarga,"ACC Cement Factory Area, Wadi, Karnataka 585225, India",17.0651408,76.97870759999999
ACC HPC Long Life Cement,ec3pk1eg,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC F2R Superfast Cement,ec3bxee2,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC Suraksha Power Cement,ec3bka2x,723161,Purulia,"Madhukunda, Sunuri, Bakuliashota, Purulia, West Bengal 723161, India",23.6362563,86.8878854
ACC HPC Long Life Cement,ec38sb6k,828122,Dhanbad,"ACC Colony, Sindri, Jharkhand 828122, India",23.6691481,86.4971911
ACC F2R Superfast Cement,ec3er2yw,828122,Dhanbad,"ACC Colony, Sindri, Jharkhand 828122, India",23.6691481,86.4971911
ACC Concrete+ Xtra Strong Cement,ec3kj2d4,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Gold Water Shield Cement,ec3j2c7d,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Suraksha Power Cement,ec3baebt,227409,Sultanpur,"Tikaria Gauriganj, ACC Colony, Asaida Pur, Uttar Pradesh 227409, India",26.1843764,81.7164729
ACC Concrete+ Xtra Strong Cement,ec3y5129,563101,Kolar,"Bamboo Bazar Rd, Raja Nagar, Kolar, Karnataka 563101, India",13.1425994,78.1330158
ACC Suraksha Power Cement,ec3wza9k,563101,Kolar,"Bamboo Bazar Rd, Raja Nagar, Kolar, Karnataka 563101, India",13.1425994,78.1330158
ACC HPC Long Life Cement,ec3akfb2,583116,,"SH 132, 583116, India",15.2869511,76.80526139999999
ACC F2R Superfast Cement,ec3sqwnk,583116,,"SH 132, 583116, India",15.2869511,76.80526139999999
ACC HPC Long Life Cement,ec3tjwn4,,Vishakhapatnam,"P563+4XC Visakhapatnam, Andhra Pradesh, India",17.7103125,83.1548906
ACC F2R Superfast Cement,ec3ae6c0,,Vishakhapatnam,"P563+4XC Visakhapatnam, Andhra Pradesh, India",17.7103125,83.1548906
Fibre cement product -  Hicem Fibre Cement Board 6 mm,ec3aggtn,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hicem Fibre Cement Board 8 mm,ec3a1qk9,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average PPC and PSC Cement,ec3fbubk,,,,,
Fibre cement product - Greencor roofing sheet,ec35dj6z,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Average Ground Granulated Blast- Furnace Slag,ec3yhszz,,,,,
S-P-06083 Vnext- Fiber Cement Boards,ec3rtwuh,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
S-P-06084 Vnext Panels,ec3me6fs,508207,,"Miryalaguda, Telangana 508207, India",16.8738909,79.56616939999999
Fibre cement product -  Hicem Fibre Cement Board 4 mm,ec38qmrf,,Vellore,"Arakkonam, Tamil Nadu, India",13.0840593,79.6704128
Fibre cement product -  Hilux Calcium Silicate Board 6 mm,ec3z0kdy,343001,Jalore,"Keshwana, Rajasthan 343001, India",25.3706561,72.4944036
ACC F2R Superfast Cement,ec3xr1bz,,Bargarh,"9JF7+PJ9 Bargarh, Odisha, India",21.3742875,83.61410939999999
