uuid,name,gwp,declared_unit,category
19dc25741c274845a1146bcb523cbad9,ACC Concrete+ Xtra Strong Cement,732 kgCO2e,1000 kg,Cement
21c717f502ce42cda3b3cac31dd122e3,ACC Concrete+ Xtra Strong Cement,814 kgCO2e,1000 kg,Cement
98dba0be27864de2bb14d5e713f8f0ee,ACC Concrete+ Xtra Strong Cement,844 kgCO2e,1000 kg,Cement
cdb2e766e0bd4e1e8cd59936effeb185,ACC Concrete+ Xtra Strong Cement,890 kgCO2e,1000 kg,Cement
83743a38f53e4caaaec613fbd15bdce8,ACC Concrete+ Xtra Strong Cement,801 kgCO2e,1000 kg,Cement
6b627914390d4512beefd9837a66ba38,ACC Concrete+ Xtra Strong Cement,742 kgCO2e,1000 kg,Cement
b3e66a6db5b4460d90501940bef768ae,ACC Concrete+ Xtra Strong Cement,809 kgCO2e,1000 kg,Cement
9ad88f895b8e4e429cf7f0bb853aeee8,ACC F2R Superfast Cement,646 kgCO2e,1000 kg,Cement
af4075e4d1c34870b5731f01488697cf,ACC F2R Superfast Cement,633 kgCO2e,1000 kg,Cement
7b74081c1e5e4ffda1c4af4bedfcb1ec,ACC F2R Superfast Cement,768 kgCO2e,1000 kg,Cement
4c1395a088994b6fbc4bd3ee4686a161,ACC F2R Superfast Cement,546 kgCO2e,1000 kg,Cement
1d7592a9ee774ee7818a71e501c18cf2,ACC F2R Superfast Cement,930 kgCO2e,1000 kg,Cement
4061a78d42684396b98c4227edfb0b7a,ACC F2R Superfast Cement,665 kgCO2e,1000 kg,Cement
5e89849a3d7546a1a3ed88bf4fbb9d97,ACC F2R Superfast Cement,531 kgCO2e,1000 kg,Cement
a75f1ca179574562a268262e29edb150,ACC F2R Superfast Cement,616 kgCO2e,1000 kg,Cement
61f2b29bec1c444fac03507c833ea2ea,ACC Gold Water Shield Cement,686 kgCO2e,1000 kg,Cement
f89f1f09e462491481e4730250fc2e4a,ACC Gold Water Shield Cement,709 kgCO2e,1000 kg,Cement
f1d94d9a68fc415a843b11f634f2963e,ACC Gold Water Shield Cement,681 kgCO2e,1000 kg,Cement
73eec838b52e46e9ac3c4223cb522a5d,ACC HPC Long Life Cement,467 kgCO2e,1000 kg,Cement
24afdc4dad3344d4ac7c0cc170670f14,ACC HPC Long Life Cement,550 kgCO2e,1000 kg,Cement
961c4f44676641ccb8ad0bece3a28a8c,ACC HPC Long Life Cement,552 kgCO2e,1000 kg,Cement
4d504c8ddd0245f29799d2c7b47802c0,ACC HPC Long Life Cement,433 kgCO2e,1000 kg,Cement
d6e73256538040b5a885345d51616b89,ACC HPC Long Life Cement,439 kgCO2e,1000 kg,Cement
be229b879ac9473bab197997b6e7fbad,ACC HPC Long Life Cement,601 kgCO2e,1000 kg,Cement
6d5c788acaa040b49c1363b754ef0767,ACC HPC Long Life Cement,433 kgCO2e,1000 kg,Cement
f54f1ead2c1c4d329bd2e65b89762ee8,ACC HPC Long Life Cement,679 kgCO2e,1000 kg,Cement
3708cbc42a124c0291a4783b1014d35b,ACC Suraksha Power Cement,661 kgCO2e,1000 kg,Cement
8c50e075482245ea9b06afec745a91fe,ACC Suraksha Power Cement,992 kgCO2e,1000 kg,Cement
c2cc970a64d9451c82f69ceda3fa5778,ACC Suraksha Power Cement,775 kgCO2e,1000 kg,Cement
1c8f447563404e51b873fd8e6f9fa041,ACC Suraksha Power Cement,688 kgCO2e,1000 kg,Cement
09f613b39b6844a5ab10520a84999eb9,ACC Suraksha Power Cement,1110 kgCO2e,1000 kg,Cement
f59b4fbd0656454f871bc8b79b56d4fd,ACC Suraksha Power Cement,710 kgCO2e,1000 kg,Cement
92d5eb5a42c44bedb57ee10695dabab0,ACC Suraksha Power Cement,675 kgCO2e,1000 kg,Cement
161ced561ebb48b1a780985406be93f8,ACC Suraksha Power Cement,689 kgCO2e,1000 kg,Cement
540cb54cf352460aa571f92e1e443390,ACC Suraksha Power Cement,837 kgCO2e,1000 kg,Cement
b62f9402d796444fb2488946ffa581e0,ACC Suraksha Power Cement,848 kgCO2e,1000 kg,Cement
c53eebc5440e429f81674216ad7e7399,ACC Suraksha Power Cement,709 kgCO2e,1000 kg,Cement
fd3efa0325ae481e8f1fd75967fb6ef6,ACC Suraksha Power Cement,692 kgCO2e,1000 kg,Cement
e2a9e2b5020f4861ae1234d2abc63744,Average PPC and PSC Cement,688 kgCO2e,1000 kg,Cement
