ID,name,gwp,declared_unit,category
ec35ysj3,Berger ETICS with EPS board (100 mm),14.3 kgCO2e,1 m2,Insulated_Wall_Panels
ec36fe4k,Berger ETICS with EPS board (120 mm),15.8 kgCO2e,1 m2,Insulated_Wall_Panels
ec3385rj,Berger ETICS with EPS board (75 mm),12.4 kgCO2e,1 m2,Insulated_Wall_Panels
ec38yh2q,Berger ETICS with EPS board 50 mm,10.5 kgCO2e,1 m2,Insulated_Wall_Panels
ec35s3tm,Berger ETICS with Mineral-woolboard (100mm),26.1 kgCO2e,1 m2,Insulated_Wall_Panels
ec3j7ukt,Berger ETICS with Mineral-woolboard (120mm),29.9 kgCO2e,1 m2,Insulated_Wall_Panels
ec3f8nur,Berger ETICS with Mineral-woolboard (50mm),16.5 kgCO2e,1 m2,Insulated_Wall_Panels
ec3y9md1,Berger ETICS with Mineral-woolboard (75mm),21.3 kgCO2e,1 m2,Insulated_Wall_Panels
ec3npess,Berger ETICS with XPS board (100 mm),19.7 kgCO2e,1 m2,Insulated_Wall_Panels
ec3zcar5,Berger ETICS with XPS board (120 mm),22.2 kgCO2e,1 m2,Insulated_Wall_Panels
ec3k1722,Berger ETICS with XPS board (50 mm),13.2 kgCO2e,1 m2,Insulated_Wall_Panels
ec385hfp,Berger ETICS with XPS board (75 mm),16.4 kgCO2e,1 m2,Insulated_Wall_Panels
