ID,name,gwp,declared_unit,category
ec3det67,10 mm REFLECTASOL on PLANILUX,32.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3cu9aa,12 mm REFLECTASOL on PLANILUX,38.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3tk6gx,3 mm REFLECTASOL on PARSOL,11.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3bbdg1,3.5 mm REFLECTASOL on PLANILUX,11.3 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec36m2xt,4 mm REFLECTASOL on PARSOL,15.6 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec32210h,4 mm REFLECTASOL on PLANILUX,13 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3af5zq,5 mm REFLECTASOL on PLANILUX,16.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3qr803,6 mm REFLECTASOL on PLANILUX,19.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3uz7gd,8 mm REFLECTASOL on PARSOL,31.1 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec387rjx,8 mm REFLECTASOL on PLANILUX,25.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3kjfby,S-P-06081 ERW Epoxy Coated Steel Pipes,2383 kgCO2e,1.0 t,Processed_Non-insulating_Glass_Panes
ec3sjd5h,SGG PARSOL 3 mm Magnetron Coated Glass,15.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3n5kbu,SGG PARSOL 3.5 mm Magnetron Coated Glass,17.1 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3z4bjj,SGG PARSOL 4 mm Magnetron Coated Glass,19.1 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec37q6s3,SGG PARSOL 5 mm Magnetron Coated Glass,23 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3y12rz,SGG PARSOL 6 mm Magnetron Coated Glass,26.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3cr94j,SGG PARSOL 8 mm Magnetron Coated Glass,34.6 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3yeytw,SGG PLANILUX 10 mm Magnetron Coated Glass,35.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3fhwbf,SGG PLANILUX 12 mm Magnetron Coated Glass,42.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3nh4ng,SGG PLANILUX 2 mm Magnetron Coated Glass,10 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec33rdzz,SGG PLANILUX 3 mm Magnetron Coated Glass,13.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3sea8u,SGG PLANILUX 3.5 mm Magnetron Coated Glass,14.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3mbwex,SGG PLANILUX 4 mm Magnetron Coated Glass,16.5 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3t8jxh,SGG PLANILUX 5 mm Magnetron Coated Glass,19.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3a04s4,SGG PLANILUX 6 mm Magnetron Coated Glass,23 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec32c734,SGG PLANILUX 8 mm Magnetron Coated Glass,29.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3uhphd,soft coated glazed glass of thickness 6 mm,52.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3brgc9,soft coated laminated glass of thickness 6 mm,93.6 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3ht2dz,soft coated printed glass thickness 6 mm,47.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec32kuar,thickness 10 mm hard coated reflective glass,32.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec35uhuw,thickness 10 mm soft coated reflective glass,49.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3pq4fn,thickness 12 mm hard coated reflective glass,38.8 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3hz5e6,thickness 12 mm soft coated reflective glass,59.8 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3erkkr,thickness 3 mm hard coated reflective glass,9.7 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec37k1d4,thickness 3 mm soft coated reflective glass,15 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec35wf63,thickness 3.5 mm soft coated reflective glass,17.5 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3ztpap,thickness 4 mm hard coated reflective glass,12.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec39q3fj,thickness 4 mm soft coated reflective glass,19.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec31up1j,thickness 5 mm hard coated reflective glass,16.2 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3g406g,thickness 5 mm soft coated reflective glass,24.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3nbdt9,thickness 6 mm hard coated reflective glass,19.4 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec37hrug,thickness 6 mm soft coated reflective glass,29.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec346pe2,thickness 8 mm hard coated reflective glass,25.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
ec3afc5b,thickness 8 mm soft coated reflective glass,39.9 kgCO2e,1 m2,Processed_Non-insulating_Glass_Panes
