ID,name,gwp,declared_unit,category
ec3j6zjy,M15 Grade,211 kgCO2e,1 m3,Ready_Mix
ec3g4d6s,M20 Grade,249 kgCO2e,1 m3,Ready_Mix
ec3pu2kq,M25 Grade,290 kgCO2e,1 m3,Ready_Mix
ec3fmtbs,M30 Grade,331 kgCO2e,1 m3,Ready_Mix
ec30nzkk,M35 Grade,396 kgCO2e,1 m3,Ready_Mix
ec3dn5an,M40 Grade,401 kgCO2e,1 m3,Ready_Mix
ec3cp5hh,M45 Grade,433 kgCO2e,1 m3,Ready_Mix
ec3dry8e,M50 Grade,437 kgCO2e,1 m3,Ready_Mix
ec3jse4r,M55 Grade,452 kgCO2e,1 m3,Ready_Mix
ec3kt4a2,M60 Grade,447 kgCO2e,1 m3,Ready_Mix
ec3he2js,M70 Grade,467 kgCO2e,1 m3,Ready_Mix
ec38ny7m,M80 Grade,476 kgCO2e,1 m3,Ready_Mix
ec3xf15x,S-P-06471 1 m3 of Ready-Mix Concrete,,1.0 m^3,Ready_Mix
