Name,ID,Zip,County,Address,Latitude,Longitude
120831,ec3cbnx5,35094,Jefferson County,"8732 Parkway Dr, Leeds, AL 35094, USA",33.54463,-86.522565
Sheetrock® EcoSmart Panels Firecode® X (Eastern US),ec37y3zm,35740,Jackson,"100 D.J. Nootens Drive, Bridgeport, AL 35740",34.96334,-85.72804
Broadloom Carpet,ec3epmm0,36571,Mobile,"716 Bill Myles Drive, Saraland, AL 36571",30.80588,-88.06804
Safety barriers,ec3wxc3n,36505,Mobile,"Highway 43 North, Axis, AL 36505",30.95283,-88.02622
MBA Metal Framing,ec32sjj6,,,,,
Stainless Steel Reinforcing Bar (secondary production route - scrap),ec35x29m,36560,Mobile,"1 Steel Drive, Mount Vernon, AL 36560",31.15079,-87.99179
Merchant Bar (at Mill),ec3k2dwr,35212,Jefferson,"101 50th Street South, Birmingham, AL 35212",33.53431,-86.75711
Floor Tile - Florence AL,ec3g87fq,35630,Lauderdale County,"4351 Bryson Blvd, Florence, AL 35630, USA",34.7998125,-87.6773125
Floor Tile - Florence AL,ec3d7nf2,,Lauderdale County,"Florence, AL, USA",34.79981,-87.677251
4000042,ec32upsq,35630,Lauderdale County,"3214 Roberson Rd, Florence, AL 35630, USA",34.8640178,-87.6686351
Modular Carpet Family,ec3xf4hw,36571,Mobile,"716 Bill Myles Drive, Saraland, AL 36571",30.80588,-88.06804
Light structural shapes,ec3hjgzx,35212,Jefferson,"101 50th Street South, Birmingham, AL 35212",33.53431,-86.75711
S-P-05431 Safety barriers,ec3c5r55,36505,Mobile,"Highway 43 North, Axis, AL 36505",30.95283,-88.02622
372031,ec343qr0,35094,Jefferson County,"8732 Parkway Dr, Leeds, AL 35094, USA",33.54463,-86.522565
Atmosphere Duct Wrap and KN Series,ec3hfhk8,,,,,
"Orion™ 75 5/8""",ec34dgk1,,,,,
"Orion™ 85 5/8""",ec3k6c1d,,,,,
Rubber Floor Tile,ec381y0s,35674,Colbert,"1401 East 6th Street, Tuscumbia, AL 35674",34.73076,-87.68155
211155,ec361tta,36303,Houston County,"645 Twitchell Rd, Dothan, AL 36303, USA",31.2500881,-85.3999996
211145,ec3nrbcn,36303,Houston County,"645 Twitchell Rd, Dothan, AL 36303, USA",31.2500881,-85.3999996
"1/2"" Leveling A/B C/D",ec3u2wen,36303,Houston County,"645 Twitchell Rd, Dothan, AL 36303, USA",31.2500881,-85.3999996
"1"" Binder A/B C/D E",ec382enc,36303,Houston County,"645 Twitchell Rd, Dothan, AL 36303, USA",31.2500881,-85.3999996
"1"" Binder",ec38j6f2,35217,Jefferson County,"2201 Pinson Valley Pkwy, Birmingham, AL 35217, USA",33.5911562,-86.76290279999999
211135,ec3frdg5,36303,Houston County,"645 Twitchell Rd, Dothan, AL 36303, USA",31.2500881,-85.3999996
Spray-applied Fire-Resistive Materials (SFRMs) - Standard Density,ec3cxgnn,35210,Jefferson,"2601 Commerce Boulevard, Irondale, AL 35210",33.54442,-86.69506
Spray-applied Fire-Resistive Materials (SFRMs) - Medium Density,ec3p2yaj,35210,Jefferson,"2601 Commerce Boulevard, Irondale, AL 35210",33.54442,-86.69506
Spray-applied Fire-Resistive Materials (SFRMs) - High & Ultra High Density,ec3j9gqk,35210,Jefferson,"2601 Commerce Boulevard, Irondale, AL 35210",33.54442,-86.69506
ALLEY WRAP™ B,ec363ghy,,,,,
Light Structural Shapes (at Mill),ec3yswcq,35212,Jefferson,"101 50th Street South, Birmingham, AL 35212",33.53431,-86.75711
Merchant Bar,ec3yg1td,,,,,
4000048,ec35055w,35630,Lauderdale County,"3214 Roberson Rd, Florence, AL 35630, USA",34.8640178,-87.6686351
Steel Reinforcing Bar and Merchant Bar Products (Unfabricated),ec3d3z2w,35234,Jefferson,"F.L. Shuttlesworth Drive, Birmingham, AL 35234",33.54748,-86.80924
Steel Reinforcing Bar and Merchant Bar Products (Fabricated) v1,ec3dem42,35234,Jefferson,"F.L. Shuttlesworth Drive, Birmingham, AL 35234",33.54748,-86.80924
Mix 1526550,ec3k29jq,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1588851,ec3xpjca,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1588848,ec3db6qc,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1588850,ec34kmtg,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1588852,ec302f99,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1589805,ec3ba6pt,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1589806,ec3dxyht,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1590324,ec3neq65,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1590323,ec34cmd6,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1589804,ec3bz3p5,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1603417,ec3xd2pm,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1589047,ec3g1hxe,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1589046,ec3grtuh,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1591385,ec3jp1nb,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Mix 1605443,ec3s12ku,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
1590022,ec3a23ag,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
1526650,ec3bfjhn,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
1589397,ec3x8aww,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
1617328,ec3z3x11,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
1562206,ec397khd,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
1599337,ec3uhhgy,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
USG Structural Panel Concrete Subfloor,ec340c6j,,,,,
Mix 4000306,ec3gnmeb,35749,Madison,"5679 Highway 53, Harvest, AL 35749",34.8403,-86.70974
Cross Laminated Timber,ec3hrx1j,,Houston County,"Dothan, AL, USA",31.2232313,-85.3904888
"USG Ceilings: Radar ClimaPlus High-Durability, Radar ClimaPlus High-CAC",ec3ppuaq,,,,,
#name_is_not_extracted,ec3uc81n,,,,,
Fabricated Concrete Reinforcing Bar and Merchant Bar,ec3dnp40,35234,Jefferson,"F.L. Shuttlesworth Drive, Birmingham, AL 35234",33.54748,-86.80924
Concrete Reinforcing Bar and Merchant Bar Mill Product,ec3u183a,35234,Jefferson,"F.L. Shuttlesworth Drive, Birmingham, AL 35234",33.54748,-86.80924
630627R20,ec3gahft,35094,Jefferson County,"8732 Parkway Dr, Leeds, AL 35094, USA",33.54463,-86.522565
4000049,ec3etygj,35630,Lauderdale County,"3214 Roberson Rd, Florence, AL 35630, USA",34.8640178,-87.6686351
Mix 4003591,ec3745be,36110,Montgomery County,"4435 Northern Blvd, Montgomery, AL 36110, USA",32.4221519,-86.2316988
