Name,ID,Zip,County,Address,Latitude,Longitude
Hot-Rolled Structural Steel (Not Fabricated),ec3u4qwy,72315,Mississippi,"East State Highway 18, Blytheville, AR 72315",35.92124,-89.81366
Merchant Bar,ec3mtme4,71753,Columbia,"100 Columbia Road 7, Magnolia, AR 71753",33.21864,-93.22417
Fabricated concrete reinforcing steel,ec3guzm2,,,,,
BUR Non-Modified Asphalt Base Sheets (40 mils),ec3fm0qp,72206,Pulaski County,"2701 E Roosevelt Rd, Little Rock, AR 72206, USA",34.7212495,-92.2419645
Concrete reinforcing steel,ec3u76nh,,,,,
"Type C 5/8” Gypsum Board - Nashville, AR",ec3unfu8,71852,Howard County,"794 AR-369, Nashville, AR 71852, USA",34.080617,-93.8588932
"Type X 5/8” Gypsum Board - Nashville, AR",ec36hm7s,71852,Howard County,"794 AR-369, Nashville, AR 71852, USA",34.080617,-93.8588932
"M2 Tech Type X 5/8” Gypsum Board - Nashville, AR",ec3xg34f,71852,Howard County,"794 AR-369, Nashville, AR 71852, USA",34.080617,-93.8588932
Light structural shapes,ec3tk1qd,71753,Columbia,"100 Columbia Road 7, Magnolia, AR 71753",33.21864,-93.22417
"½” SilentFX QuickCut Gypsum Board, Nashville, AR",ec39gmpe,71852,Howard County,"794 AR-369, Nashville, AR 71852, USA",34.080617,-93.8588932
"⅝” SilentFX® QuickCut Type X Gypsum Board, Nashville, AR",ec3nae6e,71852,Howard County,"794 AR-369, Nashville, AR 71852, USA",34.080617,-93.8588932
Aluminum Extrusions - Mill Finish,ec3fcez1,,,,,
Aluminum Extrusions - Painted Finish,ec3jm2kf,,,,,
Aluminum Extrusions - Anodized Finish,ec35d7ka,,,,,
Aluminum Extrusions - Painted Finish,ec3fbb8c,72764,Washington,"600 Kawneer Drive, Springdale, AR 72764",36.18958,-94.10837
Aluminum Extrusions - Anodized Finish,ec3kh44b,72764,Washington,"600 Kawneer Drive, Springdale, AR 72764",36.18958,-94.10837
Aluminum Extrusions - Mill Finish,ec3az2c5,72764,Washington,"600 Kawneer Drive, Springdale, AR 72764",36.18958,-94.10837
335F3562,ec3ntwgq,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
340F4075,ec33kca6,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
340PP521,ec3zrrr7,72956,Crawford County,"2115 State Hwy 59, Van Buren, AR 72956, USA",35.40617100000001,-94.3288006
Fabricated Hot-Rolled Structural Steel Sections,ec39x9dk,72315,Mississippi,"East State Highway 18, Blytheville, AR 72315",35.92124,-89.81366
Merchant Bar (at Mill),ec3buqj6,71753,Columbia,"100 Columbia Road 7, Magnolia, AR 71753",33.21864,-93.22417
Light Structural Shapes (at Mill),ec3za230,71753,Columbia,"100 Columbia Road 7, Magnolia, AR 71753",33.21864,-93.22417
Merchant Bar,ec3yg1td,,,,,
Traditional Curtain Wall (CS),ec33rwzt,,,,,
PVC-coated conduit Heavy products COND21/2SA-G,ec3qbg15,72401,Craighead County,"W Highland Dr, Jonesboro, AR 72401, USA",35.8207297,-90.7135551
Hot-Rolled Sheet,ec30d2qj,,,,,
"Fabricated HSS - Blytheville, AR – AVERAGE STEEL SUPPLY MIX",ec3xbqgp,72315,Mississippi County,"5661 E State Hwy 137, Blytheville, AR 72315, USA",35.9438769,-89.7845912
"Fabricated HSS - Blytheville, AR (Jumbo) - AVERAGE STEEL SUPPLY MIX",ec3n7mzg,72315,Mississippi County,"5661 E State Hwy 137, Blytheville, AR 72315, USA",35.9438769,-89.7845912
M2 Tech Type X 5/8” Gypsum Board,ec3a4baz,71852,Howard County,"794 AR-369, Nashville, AR 71852, USA",34.080617,-93.8588932
Hot-Rolled Sheet,ec3s17t8,72315,Mississippi,"7301 East County Road 142, Blytheville, AR 72315",35.94487,-89.6943
