Name,ID,Zip,County,Address,Latitude,Longitude
Fabricated concrete reinforcing steel,ec3guzm2,,,,,
HES 9000 Series Surface Mounted Electric Strikes,ec3s9qms,,,"AZ, United States",34.2930793762207,-111.6646957397461
Concrete reinforcing steel,ec3u76nh,,,,,
Broadloom Carpet,ec3p9dty,,Maricopa,"Phoenix, AZ",33.4482,-112.07258
FUNCTIONAL UNIT OF Concealed Electrical Power Transfer (CEPT) Device,ec3s831k,,,"AZ, United States",34.2930793762207,-111.6646957397461
8x8x16 Normal Weight CMU,ec3dspyh,85019,Maricopa County,"4601 N 42nd Ave, Phoenix, AZ 85019, USA",33.5045527,-112.1473528
8x8x16 Medium Weight CMU,ec3dup7r,,,,,
Infinity® 2,ec3bb7fn,,Maricopa,"Phoenix, AZ",33.4482,-112.07258
Concrete Reinforcing Steel Bar (at Mill),ec3ux61j,,,,,
P50257F1,ec30acsy,85041,Maricopa County,"4830 S 43rd Ave, Phoenix, AZ 85041, USA",33.4023125,-112.1514375
W45248F1,ec3yq4gu,85041,Maricopa County,"4830 S 43rd Ave, Phoenix, AZ 85041, USA",33.4023125,-112.1514375
Integra HP,ec375pgp,,Maricopa,"Phoenix, AZ",33.4482,-112.07258
Concrete reinforcing steel,ec3f5tue,85212,Maricopa County,"11444 E Germann Rd, Mesa, AZ 85212, USA",33.2837645,-111.5870744
Merchant Bar Sections,ec3sxgng,85212,Maricopa,"11444 East Germann Road, Queen Creek, AZ 85212",33.28466,-111.58662
"3/4"" Versa-Phalt",ec3zp0z6,85043,Maricopa,"7848 West Broadway Road, Phoenix, AZ 85043",33.40843,-112.22873
Fabricated Reinforcing Bar,ec30r1wx,,,,,
Neopor® Plus (GPS)  - Type VIII,ec39xkr0,,,,,
Neopor® Plus (GPS)  - Type I,ec3g36js,,,,,
9600 Series Electric Strike,ec3j4xu4,85044,Maricopa,"10027 South 51st Street, Phoenix, AZ 85044",33.35547,-111.97227
HES 1006 Series Electric Strike,ec3futeu,85044,Maricopa,"10027 South 51st Street, Phoenix, AZ 85044",33.35547,-111.97227
Neopor® Plus (GPS)  - Type II,ec3zw6d6,,,,,
Neopor® Plus (GPS) - Type IX,ec38bp9n,,,,,
Concrete Reinforcing Steel Bar (at Mill),ec35cuug,85212,Maricopa County,"11444 E Germann Rd, Mesa, AZ 85212, USA",33.2837645,-111.5870744
138408-LC,ec3etxud,85365,Yuma County,"3515 Gila Ridge Rd, Yuma, AZ 85365, USA",32.6849249,-114.5725455
134404-LC,ec3j4gt2,85365,Yuma County,"3515 Gila Ridge Rd, Yuma, AZ 85365, USA",32.6849249,-114.5725455
134414,ec3eu28a,85365,Yuma County,"3515 Gila Ridge Rd, Yuma, AZ 85365, USA",32.6849249,-114.5725455
Mix 1551235,ec30n4u3,85120,Pinal County,"2956 W Baseline Ave, Apache Junction, AZ 85120, USA",33.380454,-111.5786
1530902,ec34hu2x,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1601049,ec3wb8gu,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1617609,ec30dgu7,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
1586478,ec3s22ex,85340,Maricopa County,"6390 N Sarival Ave, Litchfield Park, AZ 85340, USA",33.5275846,-112.4095661
1618460,ec3cuupk,85128,Pinal County,"14152 N Attaway Rd, Coolidge, AZ 85128, USA",33.0086832,-111.4755711
Steel Reinforcing Bar and Merchant Bar Products (Unfabricated) v1,ec35f2r1,86413,Mohave,"3000 West Old Highway 66, Golden Valley, AZ 86413",35.125,-114.127
Steel Reinforcing Bar and Merchant Bar Products (Fabricated) v1,ec3rd63q,86413,Mohave,"3000 West Old Highway 66, Golden Valley, AZ 86413",35.125,-114.127
1530902,ec3m215u,85373,Maricopa County,"24004 N 107th Ave, Sun City, AZ 85373, USA",33.7016562,-112.2940243
1601049,ec3s8gxj,85373,Maricopa County,"24004 N 107th Ave, Sun City, AZ 85373, USA",33.7016562,-112.2940243
1617609,ec3w03h3,85373,Maricopa County,"24004 N 107th Ave, Sun City, AZ 85373, USA",33.7016562,-112.2940243
1618460,ec399zyp,85373,Maricopa County,"24004 N 107th Ave, Sun City, AZ 85373, USA",33.7016562,-112.2940243
1530902,ec3sj7qp,85024,Maricopa County,"23210 N 7th St, Phoenix, AZ 85024, USA",33.6943411,-112.0655012
Concrete Reinforcing Bar and Merchant Bar Mill Product,ec3dmrxn,86413,Mohave,"3000 West Old Highway 66, Golden Valley, AZ 86413",35.125,-114.127
1601049,ec3ag4zn,85024,Maricopa County,"23210 N 7th St, Phoenix, AZ 85024, USA",33.6943411,-112.0655012
1617609,ec3aapsm,85024,Maricopa County,"23210 N 7th St, Phoenix, AZ 85024, USA",33.6943411,-112.0655012
Kinetex®,ec3cxrzf,,Maricopa,"Phoenix, AZ",33.4482,-112.07258
Fabricated Concrete Reinforcing Bar and Merchant Bar,ec30ue0j,86413,Mohave,"3000 West Old Highway 66, Golden Valley, AZ 86413",35.125,-114.127
1592994,ec3t3pg9,85009,Maricopa County,"3640 S 19th Ave, Phoenix, AZ 85009, USA",33.4128263,-112.1001269
P40257F1,ec3pj8d7,85041,Maricopa County,"4830 S 43rd Ave, Phoenix, AZ 85041, USA",33.4023125,-112.1514375
P40157F1,ec390b76,85041,Maricopa County,"4830 S 43rd Ave, Phoenix, AZ 85041, USA",33.4023125,-112.1514375
