ID,name,gwp,declared_unit,category
ec3g2r4m,1-1/2 Class 2AB,9.1472 kgCO2e,1 t,Aggregates
ec3cpzqt,1-1/2 Class 4AB,9.1472 kgCO2e,1 t,Aggregates
ec3hzrxw,"1-1/2 x 3/4"" Drain Rock",9.8876 kgCO2e,1 t,Aggregates
ec3dq2e0,"1-1/2 x 3/4"" Drain Rock",9.1472 kgCO2e,1 t,Aggregates
ec3muug9,1/2 x 1/4 Drain Rock,9.8876 kgCO2e,1 t,Aggregates
ec31h0d3,1/2 x 1/4 Drain Rock,9.1472 kgCO2e,1 t,Aggregates
ec3nzqd8,1/2” Crushed,5.65 kgCO2e,1 t,Aggregates
ec3rgs1p,1/4 #10 Drain Rock,9.1472 kgCO2e,1 t,Aggregates
ec39ans5,1/4 Premium,9.1472 kgCO2e,1 t,Aggregates
ec3248a3,1” x #4,4.43 kgCO2e,1 t,Aggregates
ec3044h7,3/4 Class 2AB,9.1472 kgCO2e,1 t,Aggregates
ec3yfmpc,3/4 Class 2AB,9.8876 kgCO2e,1 t,Aggregates
ec329wmp,3/4 Class 4AB,9.1472 kgCO2e,1 t,Aggregates
ec3q5zah,3/4 Concrete Mix,9.8876 kgCO2e,1 t,Aggregates
ec3fq6ku,3/4 Concrete Mix,9.1472 kgCO2e,1 t,Aggregates
ec3uwenc,"3/4 x 1/2"" Drain Rock",9.8876 kgCO2e,1 t,Aggregates
ec3t37ay,"3/4 x 1/2"" Drain Rock",9.1472 kgCO2e,1 t,Aggregates
ec397s3d,3/4” Crushed,5.63 kgCO2e,1 t,Aggregates
ec3w36p7,3/4” x  #4,4.48 kgCO2e,1 t,Aggregates
ec38pzzx,"3/8 "" Pea Gravel",9.8876 kgCO2e,1 t,Aggregates
ec3qnyhb,3/8 x # 6 Drain Rock,9.1472 kgCO2e,1 t,Aggregates
ec3my08a,3/8 x # 6 Drain Rock,9.8876 kgCO2e,1 t,Aggregates
ec3ea24u,3/8” Crushed,5.75 kgCO2e,1 t,Aggregates
ec3us31n,AREMA #4 Ballast 1-1/2,9.1472 kgCO2e,1 t,Aggregates
ec3qpb3a,Arena Footing,9.8876 kgCO2e,1 t,Aggregates
ec3j575b,Caltrans 1x#4,9.8876 kgCO2e,1 t,Aggregates
ec30tp82,Caltrans 1x#4,9.1472 kgCO2e,1 t,Aggregates
ec3j94t0,Class II Perm,4.5 kgCO2e,1 t,Aggregates
ec33acnj,Class IIBase,5.31 kgCO2e,1 t,Aggregates
ec3jd25b,Clay,9.1472 kgCO2e,1 t,Aggregates
ec3g2xh0,Concrete Sand,9.8876 kgCO2e,1 t,Aggregates
ec3d5mr5,Concrete Sand,9.1472 kgCO2e,1 t,Aggregates
ec3gk7sk,Crushed ClassII Perm,5.26 kgCO2e,1 t,Aggregates
ec39893e,"Gabio 3 x 8""",9.1472 kgCO2e,1 t,Aggregates
ec3491ax,Granite Rock Fines,9.8876 kgCO2e,1 t,Aggregates
ec3087sh,Granite Rock Fines,9.1472 kgCO2e,1 t,Aggregates
ec31gtzq,Granite Sand,9.8876 kgCO2e,1 t,Aggregates
ec35mgs5,Granite Sand,9.1472 kgCO2e,1 t,Aggregates
ec3a4baz,M2 Tech Type X 5/8” Gypsum Board,165 kgCO2e,92.9 m^2,Aggregates
ec33tj6c,MFG Sand,7.49 kgCO2e,1 t,Aggregates
ec38n5ry,Pea Gravel,4.61 kgCO2e,1 t,Aggregates
ec34cn2n,Permiable,9.8876 kgCO2e,1 t,Aggregates
ec3htwqg,Permiable,9.1472 kgCO2e,1 t,Aggregates
ec364mqr,Ranchers Baserock,9.8876 kgCO2e,1 t,Aggregates
ec3xgjpf,Rip Rap (all sizes up to 15 ton),9.1472 kgCO2e,1 t,Aggregates
ec3100c7,Rock Dust,5.72 kgCO2e,1 t,Aggregates
ec38kteh,Screened Cobbles,9.8876 kgCO2e,1 t,Aggregates
ec3bk6k0,Top Sand,4.87 kgCO2e,1 t,Aggregates
ec3mz7rq,"Type 1, 2, 3 Slurry Seal Agg.",9.1472 kgCO2e,1 t,Aggregates
ec32km6r,Utility Sand,9.1472 kgCO2e,1 t,Aggregates
ec3z05bg,Utility Sand,9.8876 kgCO2e,1 t,Aggregates
ec3dxj7q,Washed Sand,9.8876 kgCO2e,1 t,Aggregates
ec3h1mpr,Washed Sand,9.1472 kgCO2e,1 t,Aggregates
