ID,name,gwp,declared_unit,category
ec3gtxue,074-22 12.5mm Surface,61.85 kgCO2e,1 metric ton,Asphalt
ec356zgz,076-22 12.5mm Surface RAP,53.5 kgCO2e,1 metric ton,Asphalt
ec38j6f2,"1"" Binder",59.16 kgCO2e,1 metric ton,Asphalt
ec3qaz3k,"1"" Binder",55.78 kgCO2e,1 metric ton,Asphalt
ec382enc,"1"" Binder A/B C/D E",53.75 kgCO2e,1 metric ton,Asphalt
ec39je3z,"1"" Binder A/B C/D E",53.75 kgCO2e,1 metric ton,Asphalt
ec3fx5cq,"1"" Private",47.3 kgCO2e,1 metric ton,Asphalt
ec3g97y6,"1"" Private",47.08 kgCO2e,1 metric ton,Asphalt
ec3h1hx6,1-23-12 (MAG14),71.93 kgCO2e,1 metric ton,Asphalt
ec32784w,"1-23-34 (MAG 3/4"")",71.92 kgCO2e,1 metric ton,Asphalt
ec3x7wh8,"1/2"" ALDOT Seal",68.96 kgCO2e,1 metric ton,Asphalt
ec3u2wen,"1/2"" Leveling A/B C/D",60.87 kgCO2e,1 metric ton,Asphalt
ec3mnurf,"1/2"" Leveling A/B C/D",60.87 kgCO2e,1 metric ton,Asphalt
ec3r1nju,"1/2"" Private",54.2 kgCO2e,1 metric ton,Asphalt
ec3802dj,"1/2"" Private",54.42 kgCO2e,1 metric ton,Asphalt
ec35b5dt,1154000 37.5MM Base,67.09 kgCO2e,1 metric ton,Asphalt
ec3qqqa4,1154000 37.5MM Base,66.79 kgCO2e,1 metric ton,Asphalt
ec3gkf28,1154000 37.5MM Base,67.09 kgCO2e,1 metric ton,Asphalt
ec3dgxrj,119 65gyr PG64-28 LCP 119.20,58.65 kgCO2e,1 metric ton,Asphalt
ec3k5tz0,12.5mm 65gyr FMR2 PG64-28ETCop 114.20,62.07 kgCO2e,1 metric ton,Asphalt
ec3ht3fy,12.5mm 65gyr FMR2 PG64-28ETCop 114.20,62.1 kgCO2e,1 metric ton,Asphalt
ec3s7tkm,12.5mm 65gyr FMR2 PG64-28ETMA 114.20,63.8 kgCO2e,1 metric ton,Asphalt
ec3uxjda,12.5mm 65gyr FMR2 PG64-28ETMA 114.20,63.76 kgCO2e,1 metric ton,Asphalt
ec31xk51,12.5mm 65gyr FMR2 PG64-28NH 114.20,57.71 kgCO2e,1 metric ton,Asphalt
