ID,name,gwp,declared_unit,category
ec3cjm1s,ALLEY WRAP™ B,8.26 kgCO2e,1 m2,Blanket
ec363ghy,ALLEY WRAP™ B,7.871 kgCO2e,1 m2,Blanket
ec3t1djr,EcoBatt Kraft faced Batts and Rolls,0.69 kgCO2e,1 m2,Blanket
ec34qjqs,EcoBatt Unfaced Batts and Rolls,0.65 kgCO2e,1 m2,Blanket
ec3ea6q4,EcoBatt batts and rolls: FSK-faced,0.531 kgCO2e,1 m2,Blanket
ec32yqs5,EcoBatt batts and rolls: Foil-faced,0.49 kgCO2e,1 m2,Blanket
ec3q3yn7,EcoBatt batts and rolls: Kraft-faced,0.239 kgCO2e,1 m2,Blanket
ec3f1g5g,EcoBatt batts and rolls: unfaced,0.152 kgCO2e,1 m2,Blanket
ec3sa89z,EcoTouch Flame Spread 25 Fiberglass Insulation - FSK faced,1.01 kgCO2e,1 m2,Blanket
ec390bu1,EcoTouch Flame Spread 25 Fiberglass Insulation - PSK faced,0.95 kgCO2e,1 m2,Blanket
ec3r2psa,EcoTouch PINK Fiberglass Foil Faced Insulation,0.81 kgCO2e,1 m2,Blanket
ec3befmr,EcoTouch Pink Fiberglas batt and roll insulation - FSK faced,1.22 kgCO2e,1 m2,Blanket
ec3yq33m,EcoTouch Pink Fiberglas batt and roll insulation - PSK faced,0.843 kgCO2e,1 m2,Blanket
ec3sgym8,EcoTouch Pink Fiberglas batt and roll insulation - foil faced,1 kgCO2e,1 m2,Blanket
ec3pgke5,EcoTouch Pink Fiberglas batt and roll insulation - kraft faced,0.599 kgCO2e,1 m2,Blanket
ec3tnmxr,EcoTouch® Kraft-faced Insulation.,0.7 kgCO2e,1 m2,Blanket
ec3p2djs,EcoTouch® Unfaced Insulation,0.58 kgCO2e,1 m2,Blanket
ec3zm2xx,FSK-faced ALLEY WRAP™ B,2.123 kgCO2e,1 m2,Blanket
ec3x7z33,"FSK-faced EcoBatt® and EcoRoll Insulation produced in Lanett, AL",1.6 kgCO2e,1 m2,Blanket
ec3npd42,FSK-faced Performance+™ Duct Wrap,2.123 kgCO2e,1 m2,Blanket
ec3x6rap,"Foil-faced EcoBatt® and EcoRoll Insulation produced in Lanett, AL",1.4 kgCO2e,1 m2,Blanket
ec3b3daq,KN Series Insulation,1.655 kgCO2e,1 m2,Blanket
ec30juaj,"Kraft-faced EcoBatt® and EcoRoll Insulation produced in Lanett, AL",1.17 kgCO2e,1 m2,Blanket
ec3f8p9p,Sustainable Insulation Fiberglass Blanket,0.196 kgCO2e,1 m2,Blanket
ec34uwrb,Sustainable Insulation® Unfaced and Kraft Faced Batts,1.2 kgCO2e,1 m2,Blanket
ec3b2h70,"Unfaced EcoBatt® and EcoRoll Insulation produced in Lanett, AL",1.12 kgCO2e,1 m2,Blanket
