ID,name,gwp,declared_unit,category
ec3tk17j,"#duplicate NexStep Cushion Tile, Solution Dyed Nylon 6,6",24 kgCO2e,1 m2,Carpet
ec3ngpu2,"AFFIXX Hardback Carpet Tile - Solution Dyed Nylon 6,6 Yarn and Piece Dyed Nylon 6,6 Yarn",0.2 kgCO2e,1 m²,Carpet
ec3p56p7,"AFFIXX™ Tile - Piece Dyed Nylon 6,6",14.6 kgCO2e,1 m2,Carpet
ec3r8fr8,"AFFIXX™ Tile -SolutionDyed Nylon 6,6",14.7 kgCO2e,1 m2,Carpet
ec357t8x,"AFIRMA Hardback Tile - Piece Dyed Nylon 6,6",15 kgCO2e,1 m2,Carpet
ec3w9qfr,AFIRMA IITM Hardback carpet tile with Nylon 6 Yarn - Solution Dyed 14 oz/yd2,5.62 kgCO2e,1 m2,Carpet
ec3j9mke,"AFIRMATM HardbackTile - Solution Dyed Nylon 6,6",13.2 kgCO2e,1 m2,Carpet
ec3km5g3,"AFIRMA™ Hardback Tile- Piece Dyed Nylon 6,6",0.318 kgCO2e,1 m²,Carpet
ec3954f2,AFIRMA™ II Hardback Tile,14.71 kgCO2e,1 m2,Carpet
ec3p9dty,Broadloom Carpet,10.1 kgCO2e,1 m2,Carpet
ec3epmm0,Broadloom Carpet,12.1 kgCO2e,1 m2,Carpet
ec3xtsza,EliteFlex™ Broadloom (Continuous Dyed),14.71 kgCO2e,1 m2,Carpet
ec3ghy2j,EliteFlex™ Broadloom (Solution Dyed),14.6 kgCO2e,1 m2,Carpet
ec3pmt3s,"High PerformancePC Broadloom - Solution Dyed Nylon 6,6 Yarn and Piece Dyed Nylon 6,6 Yarn",0.115 kgCO2e,1 m²,Carpet
ec3nc682,"High PerformancePC Broadloom, Piece Dyed Nylon 6,6",11.2 kgCO2e,1 m2,Carpet
ec3caufd,"High PerformancePC Broadloom, Solution Dyed Nylon 6,6",11.6 kgCO2e,1 m2,Carpet
ec3bb7fn,Infinity® 2,19 kgCO2e,1 m2,Carpet
ec375pgp,Integra HP,15.7 kgCO2e,1 m2,Carpet
ec3xf4hw,Modular Carpet Family,14.3 kgCO2e,1 m2,Carpet
ec3bayh4,"NexStep Cushion Tile, Piece Dyed Nylon 6,6",19.5 kgCO2e,1 m2,Carpet
ec3rf676,Perma-Tile Modular Carpet Family,19.5 kgCO2e,1 m2,Carpet
ec3pj1xc,"ion, Carpet packaging and transport ETALbeeled gay of raw materials alee Thelife cycle assessment st",19 kgCO2e,1 m²,Carpet
