ID,name,gwp,declared_unit,category
ec34txjt,#split Mix 454-11234,447 kgCO2e,1.0 t,Cement
ec3qqpmb,CEMEX Demopolis Cement Type I/II,990 kgCO2e,1 t,Cement
ec3ncxzz,CEMEX Demopolis Cement Type IL,933 kgCO2e,1 t,Cement
ec37y2bk,Holcim Portland Type I/II - Theodore cement plant,875 kgCO2e,1 t,Cement
ec3y1yc9,Holcim Portland Type III - Theodore cement plant,891 kgCO2e,1 t,Cement
ec37nq12,Holcim Portland Type IL - Theodore cement plant,818 kgCO2e,1 t,Cement
ec34zxa1,Riverside Plastic (Stucco) Cement,823 kgCO2e,1 t,Cement
ec3hzw3d,Riverside Type I/II/V,969 kgCO2e,1 t,Cement
ec3zz7fe,Riverside Type III Cement,962 kgCO2e,1 t,Cement
ec38s207,Type 1L Cement,871 kgCO2e,1 t,Cement
ec33m9e1,Type I/II,820 kgCO2e,1 t,Cement
ec3ucg3b,Type I/II/V Portland Cement,926 kgCO2e,1 metric ton,Cement
ec3htr2a,Type I/II/V cement,824 kgCO2e,1000 kg,Cement
ec3gbqug,Type II/V,813 kgCO2e,1 t,Cement
