ID,name,gwp,declared_unit,category
ec3q5h58,#name_is_not_extracted,,1 m3,Concrete_Unit_Masonry
ec3wd1wf,8x6x16 Slump Block CMU,281 kgCO2e,1 yd3,Concrete_Unit_Masonry
ec3j07x1,8x8x16 CMU Medium Weight,294 kgCO2e,1 yd3,Concrete_Unit_Masonry
ec3d7ejt,8x8x16 HSR CMU,411 kgCO2e,1 yd3,Concrete_Unit_Masonry
ec38a4nd,8x8x16 Splitface CMU,287 kgCO2e,1 yd3,Concrete_Unit_Masonry
ec3xch6j,CarbonBuiltCMU,203.7918454 kgCO2e,1 m^3,Concrete_Unit_Masonry
ec3ue69r,CarbonBuiltCMU,230.3414475 kgCO2e,1 m^3,Concrete_Unit_Masonry
ec3xbuph,G-Mix 004 Opal,190.769673 kgCO2e,1 m^3,Concrete_Unit_Masonry
ec3bxhen,LEED Slump,454 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3pn42j,Lightweight Concrete Masonry Units,279 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3zedjq,Lightweight Concrete Masonry Units,291 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3tmmu4,Lightweight Concrete Masonry Units,244 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3j69za,Lightweight Concrete Masonry Units,310 kgCO2e,1 m3,Concrete_Unit_Masonry
ec30edpe,Lightweight Concrete Masonry Units,292 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3zu7xu,Lightweight High Stress Concrete Masonry Units,317 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3e96tw,Lightweight High Stress Concrete Masonry Units,311 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3y3427,Lightweight High Stress Concrete Masonry Units,333 kgCO2e,1 m3,Concrete_Unit_Masonry
ec359xd4,Lightweight High Stress Concrete Masonry Units,337 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3wq41p,Lightweight LEED 2000 PSI,740 kgCO2e,1 m3,Concrete_Unit_Masonry
ec39cwat,Lightweight LEED 2800 PSI,776 kgCO2e,1 m3,Concrete_Unit_Masonry
ec34qzrj,Lightweight LEED 3750 PSI,805 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3z009w,Lightweight LEED w/ pumice,566 kgCO2e,1 m3,Concrete_Unit_Masonry
ec324mw0,MW CMU,311.9037543 kgCO2e,1 m^3,Concrete_Unit_Masonry
ec3qgzcy,Medium Weight Concrete Masonry Units,222 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3rw7ct,Medium Weight Concrete Masonry Units,201 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3ajzfh,Medium Weight Concrete Masonry Units,208 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3pftrf,Medium Weight Concrete Masonry Units,197 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3ru0w9,Medium Weight Concrete Masonry Units,217 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3akcqr,Medium Weight High Stress Concrete Masonry Units,286 kgCO2e,1 m3,Concrete_Unit_Masonry
ec37qkn2,Medium Weight High Stress Concrete Masonry Units,273 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3d48x2,Medium Weight High Stress Concrete Masonry Units,234 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3sedyq,Medium Weight High Stress Concrete Masonry Units,278 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3jzucj,Medium Weight High Stress Concrete Masonry Units,247 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3jhfkh,Medium Weight LEED 2000 PSI,506 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3z3utq,Medium Weight LEED 2800 PSI,533 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3kx0um,Medium Weight LEED 3750 PSI,575 kgCO2e,1 m3,Concrete_Unit_Masonry
ec35cpmz,Medium Weight White Concrete Masonry Units,293 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3etf3y,Mix 08-08-16,331 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3cj1yg,Mix 1671-MW,424 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3ywg9t,Mix 2011-SF-LW,635 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3cbja4,Mix 221-LW,460 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3kr3ha,Mix 2211-SF-LW-P,473 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3g5twm,Mix 225-LW,396 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3187f1,Mix 225-LW-HS,442 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3dkea9,Mix 225-LW-UHS,504 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3r7xk7,Mix 2421-SF-MW,468 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3qyya2,Mix 625-MW,371 kgCO2e,1 m3,Concrete_Unit_Masonry
ec34x3a2,Mix 625-MW-HS,447 kgCO2e,1 m3,Concrete_Unit_Masonry
ec340z7u,Mix 625-MW-UHS,507 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3w8ebf,Mix 7021-SF-LW-HS,663 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3qudfe,Mix 7111-SF-MW-UHS,626 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3q623q,Mix 725-NW,353 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3dnm81,Mix 725-NW-HS,399 kgCO2e,1 m3,Concrete_Unit_Masonry
ec33caq6,Mix 725-NW-UHS,460 kgCO2e,1 m3,Concrete_Unit_Masonry
ec327xa4,Mix 825-LW,358 kgCO2e,1 m3,Concrete_Unit_Masonry
ec37w156,Mix 825-LW-UHS,460 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3g1qkj,Mix ACB,394 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3h2b3w,Mix Fence,405 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3jzfqn,Mix G-Mix CB12 LTW,533 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3x9db9,Mix G-Mix CB12 NW,166 kgCO2e,1 m3,Concrete_Unit_Masonry
ec394nf1,Mix G-Mix CB16 LTW,595 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3s68dp,Mix G-Mix CB8 NW,137 kgCO2e,1 m3,Concrete_Unit_Masonry
ec36tm2g,Mix G-Mix Diamond,246 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3ydg2z,Mix G-Mix Diamond Pro,277 kgCO2e,1 m3,Concrete_Unit_Masonry
ec38bmr5,Mix G-Mix Duragreen,352 kgCO2e,1 m3,Concrete_Unit_Masonry
ec36sccr,Mix G-Mix LTW 100% CMU,451 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3uqsfe,Mix G-Mix LTW CMU,312 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3fnq7p,Mix G-Mix MW CMU,142 kgCO2e,1 m3,Concrete_Unit_Masonry
ec33bb64,Mix G-Mix NW 2HR CMU,156 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3e51n0,Mix G-Mix NW Ground Face,156 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3yutkm,Mix G-Mix NW Polished,156 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3cub14,Mix G-Mix NW STD CMU,129 kgCO2e,1 m3,Concrete_Unit_Masonry
ec38acbm,Mix G-Mix NW Smooth Face,147 kgCO2e,1 m3,Concrete_Unit_Masonry
ec30te20,Mix G-Mix NW Split Face,147 kgCO2e,1 m3,Concrete_Unit_Masonry
ec31g6jc,Mix G-Mix Pumice MW CMU,187 kgCO2e,1 m3,Concrete_Unit_Masonry
ec31k82m,Mix G-Mix White NW CMU,216 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3q7cps,Mix GS,399 kgCO2e,1 m3,Concrete_Unit_Masonry
ec35dhtj,Mix JNB,394 kgCO2e,1 m3,Concrete_Unit_Masonry
ec36eay9,Mix JNB,391 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3urymh,Mix LW,523 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3exu1q,Mix LW-HS,594 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3176r7,Mix Lightweight CMU,471 kgCO2e,1 m3,Concrete_Unit_Masonry
ec31ajra,Mix MW,371 kgCO2e,1 m3,Concrete_Unit_Masonry
ec3c1eqw,Mix MW,367 kgCO2e,1 m3,Concrete_Unit_Masonry
