ID,name,gwp,declared_unit,category
ec3pdqyn,OCAL® PVC-coated Aluminum Conduit,61.7 kgCO2e,1 m,Electrical_Conduit
ec33kdhu,PVC Extruded Electrical Conduit,7.7 kgCO2e,1 m,Electrical_Conduit
ec359adw,"PVC Extruded Electrical Conduit Schedule 40 1""",1.28 kgCO2e,1 m,Electrical_Conduit
ec3d0ppd,"PVC Extruded Electrical Conduit Schedule 40 1-1/2""",2.09 kgCO2e,1 m,Electrical_Conduit
ec3jnd61,"PVC Extruded Electrical Conduit Schedule 40 1-1/4""",1.74 kgCO2e,1 m,Electrical_Conduit
ec32wxrj,"PVC Extruded Electrical Conduit Schedule 40 1/2""",0.655 kgCO2e,1 m,Electrical_Conduit
ec3df2s7,"PVC Extruded Electrical Conduit Schedule 40 2""",2.76 kgCO2e,1 m,Electrical_Conduit
ec3u8nm7,"PVC Extruded Electrical Conduit Schedule 40 2-1/2""",4.33 kgCO2e,1 m,Electrical_Conduit
ec33h51u,"PVC Extruded Electrical Conduit Schedule 40 3""",5.69 kgCO2e,1 m,Electrical_Conduit
ec3m5eef,"PVC Extruded Electrical Conduit Schedule 40 3-1/2""",7.08 kgCO2e,1 m,Electrical_Conduit
ec3mc4rj,"PVC Extruded Electrical Conduit Schedule 40 3/4""",0.886 kgCO2e,1 m,Electrical_Conduit
ec3fdw47,"PVC Extruded Electrical Conduit Schedule 40 5""",11 kgCO2e,1 m,Electrical_Conduit
ec3xg53t,"PVC Extruded Electrical Conduit Schedule 40 6""",14.1 kgCO2e,1 m,Electrical_Conduit
ec3ekke5,"PVC Extruded Electrical Conduit Schedule 40 8""",23 kgCO2e,1 m,Electrical_Conduit
ec3cz0a1,"PVC Extruded Electrical Conduit Schedule 80 1""",1.6 kgCO2e,1 m,Electrical_Conduit
ec32g1ys,"PVC Extruded Electrical Conduit Schedule 80 1-1/2""",2.72 kgCO2e,1 m,Electrical_Conduit
ec3paq52,"PVC Extruded Electrical Conduit Schedule 80 1-1/4""",2.23 kgCO2e,1 m,Electrical_Conduit
ec3hs0td,"PVC Extruded Electrical Conduit Schedule 80 1/2""",0.801 kgCO2e,1 m,Electrical_Conduit
ec3buq9y,"PVC Extruded Electrical Conduit Schedule 80 2""",3.72 kgCO2e,1 m,Electrical_Conduit
ec3azxnh,"PVC Extruded Electrical Conduit Schedule 80 2-1/2""",5.67 kgCO2e,1 m,Electrical_Conduit
ec3z5hj9,"PVC Extruded Electrical Conduit Schedule 80 3""",7.65 kgCO2e,1 m,Electrical_Conduit
ec3pr5xd,"PVC Extruded Electrical Conduit Schedule 80 3-1/2""",9.55 kgCO2e,1 m,Electrical_Conduit
ec30wzw5,"PVC Extruded Electrical Conduit Schedule 80 3/4""",1.1 kgCO2e,1 m,Electrical_Conduit
ec3p8tg2,"PVC Extruded Electrical Conduit Schedule 80 4""",11 kgCO2e,1 m,Electrical_Conduit
ec33xe03,"PVC Extruded Electrical Conduit Schedule 80 5""",15.1 kgCO2e,1 m,Electrical_Conduit
ec3z5e9e,"PVC Extruded Electrical Conduit Schedule 80 6""",21.4 kgCO2e,1 m,Electrical_Conduit
ec3ttb8w,PVC-coated conduit Heavy products COND1/2SA-G,12.4 kgCO2e,1 m,Electrical_Conduit
ec3syra5,PVC-coated conduit Heavy products COND11/2SA-G,39.9 kgCO2e,1 m,Electrical_Conduit
ec33epbu,PVC-coated conduit Heavy products COND11/4SA-G,33.6 kgCO2e,1 m,Electrical_Conduit
ec3wqfjr,PVC-coated conduit Heavy products COND1SA-G,20.5 kgCO2e,1 m,Electrical_Conduit
ec3qbg15,PVC-coated conduit Heavy products COND21/2SA-G,87.4 kgCO2e,1 m,Electrical_Conduit
ec36u14z,PVC-coated conduit Heavy products COND3/4SA-G,13.1 kgCO2e,1 m,Electrical_Conduit
ec31sw4s,PVC-coated conduit Heavy products COND31/2SA-G,137 kgCO2e,1 m,Electrical_Conduit
ec3mmg26,PVC-coated conduit Heavy products COND3SA-G,111 kgCO2e,1 m,Electrical_Conduit
ec30023s,PVC-coated conduit Heavy products COND4SA-G,165 kgCO2e,1 m,Electrical_Conduit
ec387060,PVC-coated conduit Heavy products COND5SA-G,205 kgCO2e,1 m,Electrical_Conduit
ec3dz9wb,PVC-coated conduit Heavy products COND6SA-G,295 kgCO2e,1 m,Electrical_Conduit
ec3hgrcs,PVC-coated conduit Heavy products ELL21/2SA-G,85.4 kgCO2e,1 m,Electrical_Conduit
ec367y6e,PVC-coated conduit Heavy products ELL31/2SA-G,120 kgCO2e,1 m,Electrical_Conduit
ec3nf4bu,PVC-coated conduit Heavy products ELL330SA-G,97 kgCO2e,1 m,Electrical_Conduit
ec3nbtwe,PVC-coated conduit Heavy products ELL3SA-G,97 kgCO2e,1 m,Electrical_Conduit
ec3py65t,PVC-coated conduit Heavy products ELL430SA-G,133 kgCO2e,1 m,Electrical_Conduit
ec398na8,PVC-coated conduit Heavy products ELL445SA-G,133 kgCO2e,1 m,Electrical_Conduit
ec3gytsz,PVC-coated conduit Heavy products ELL4SA-G,133 kgCO2e,1 m,Electrical_Conduit
ec3mth3p,PVC-coated conduit Heavy products ELL5SA-G,216 kgCO2e,1 m,Electrical_Conduit
ec3ym675,PVC-coated conduit Heavy products ELL6SA-G,383 kgCO2e,1 m,Electrical_Conduit
ec3g3mkg,PVC-coated conduit Heavy products LRELL11/2X36SA-G,69.3 kgCO2e,1 m,Electrical_Conduit
ec30p6y7,PVC-coated conduit Heavy products LRELL11/4X36SA-G,64.5 kgCO2e,1 m,Electrical_Conduit
ec3az2f7,PVC-coated conduit Heavy products LRELL1X24SA-G,26 kgCO2e,1 m,Electrical_Conduit
ec31qhw7,PVC-coated conduit Heavy products LRELL1X36SA-G,32.4 kgCO2e,1 m,Electrical_Conduit
ec3b90wt,PVC-coated conduit Heavy products LRELL21/2X36SA-G,109 kgCO2e,1 m,Electrical_Conduit
ec36cdc1,PVC-coated conduit Heavy products LRELL2X12SA-G,65.6 kgCO2e,1 m,Electrical_Conduit
ec3xshbc,PVC-coated conduit Heavy products LRELL2X24SA-G,56.7 kgCO2e,1 m,Electrical_Conduit
ec3jexpd,PVC-coated conduit Heavy products LRELL2X36SA-G,61 kgCO2e,1 m,Electrical_Conduit
ec3zhmpc,PVC-coated conduit Heavy products LRELL31/2X36SA-G,202 kgCO2e,1 m,Electrical_Conduit
ec3g54er,PVC-coated conduit Heavy products LRELL3X18SA-G,115 kgCO2e,1 m,Electrical_Conduit
ec3npttb,PVC-coated conduit Heavy products LRELL3X24SA-G,108 kgCO2e,1 m,Electrical_Conduit
ec3z9x1m,PVC-coated conduit Heavy products LRELL3X36SA-G,113 kgCO2e,1 m,Electrical_Conduit
ec31kn4t,PVC-coated conduit Heavy products LRELL4X18SA-G,147 kgCO2e,1 m,Electrical_Conduit
ec3r6ybk,PVC-coated conduit Heavy products LRELL4X36SA-G,173 kgCO2e,1 m,Electrical_Conduit
ec3ydc6b,PVC-coated conduit Heavy products LRELL5X30SA-G,238 kgCO2e,1 m,Electrical_Conduit
ec3fab1d,PVC-coated conduit Heavy products LRELL5X36SA-G,226 kgCO2e,1 m,Electrical_Conduit
ec3wgn8e,PVC-coated conduit light products CLNPL1/2SA-G,-12.7 kgCO2e,1 m,Electrical_Conduit
ec332a6q,PVC-coated conduit light products CLNPL3/4SA-G,2.37 kgCO2e,1 m,Electrical_Conduit
ec3nmyt7,PVC-coated conduit light products ELL1/2SA-G,21.9 kgCO2e,1 m,Electrical_Conduit
ec3as35c,PVC-coated conduit light products ELL11/2SA-G,37.7 kgCO2e,1 m,Electrical_Conduit
ec30dq6r,PVC-coated conduit light products ELL11/4SA-G,30.2 kgCO2e,1 m,Electrical_Conduit
ec3kbmzq,PVC-coated conduit light products ELL1SA-G,28.1 kgCO2e,1 m,Electrical_Conduit
ec3e2gjh,PVC-coated conduit light products ELL2SA-G,55.6 kgCO2e,1 m,Electrical_Conduit
