ID,name,gwp,declared_unit,category
ec3pjafb,#78,156 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3fx2xe,100,93.3 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3r1ua0,100,91.1 kgCO2e,1 m3,Flowable_Concrete_Fill
ec33yjj5,100,104 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3t12b8,100,106 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3dxcjd,100,107 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39atfy,100,97 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3jwx00,100,106 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3uepk7,1332684,130.6857466 kgCO2e,1 m^3,Flowable_Concrete_Fill
ec310mr0,1332684,140.1315403 kgCO2e,1 m^3,Flowable_Concrete_Fill
ec3z2sa9,1332739,145 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3r1u0m,1377890,291 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3wssjb,1377890,294 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3ueu47,1393911,92.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec347cbp,1396194,415 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3eaghc,1412889,52.2 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3asrj6,1412889,42.8 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3hdk3h,1412889,46.6 kgCO2e,1 m3,Flowable_Concrete_Fill
ec35wf2x,1412889,47.4 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3c4w9d,1412889,50.1 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3gwx9y,1412889,26.4 kgCO2e,1 m3,Flowable_Concrete_Fill
ec37h4un,1412889,45 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3pk4h7,1412889,55.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3zrrne,1412895,127 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3yk6jz,1413024,77.3 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3qjtb5,1413024,80.3 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3t18nm,1413024,77.5 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3k4b46,1413024,77.4 kgCO2e,1 m3,Flowable_Concrete_Fill
ec36eywc,1413024,75.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39yc8e,1413025,154 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3ef4gm,1413033,134 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3kc1tq,1413033,157 kgCO2e,1 m3,Flowable_Concrete_Fill
ec33yxb3,1413035,403 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3sn315,1413040,309 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3negrn,1414897,498 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3fnmxm,1414897,450 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3845an,1414897,406 kgCO2e,1 m3,Flowable_Concrete_Fill
ec34e8g7,1416176,67.5 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3p1rh2,1416176,62.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3z3ewh,1416177,94.3 kgCO2e,1 m3,Flowable_Concrete_Fill
ec348sam,1416177,97 kgCO2e,1 m3,Flowable_Concrete_Fill
ec31q78a,1416177,93 kgCO2e,1 m3,Flowable_Concrete_Fill
ec31aktc,1416177,91 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3qbxqr,1416177,94.6 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3q72ex,1416177,72.2 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3rqpmh,1416177,98.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3jm782,1416484,78.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3bf31q,1416484,91.4 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3gy6yh,1416858,137 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3mfrxh,1416858,139 kgCO2e,1 m3,Flowable_Concrete_Fill
ec347nfp,1416858,131 kgCO2e,1 m3,Flowable_Concrete_Fill
ec36a53z,1416858,121 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3wxg3q,1416858,139 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39ejb6,1416858,136 kgCO2e,1 m3,Flowable_Concrete_Fill
ec30j3ju,1416858,136 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3x35eu,1418408,123 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3ngecu,1418408,123 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3unju4,1418408,116 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3p13q2,1418410,155 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3zbfud,1418410,148 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3ru404,1418410,147 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3hjzfd,1418410,156 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3tfs14,1418410,148 kgCO2e,1 m3,Flowable_Concrete_Fill
ec353wa8,1418416,190 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3qk247,1418530,91.2 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39sjwj,1418530,91.5 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3c89x2,1418530,101 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39gxyd,1418530,91.2 kgCO2e,1 m3,Flowable_Concrete_Fill
ec326w5w,1418531,92.4 kgCO2e,1 m3,Flowable_Concrete_Fill
ec36x2c0,1419984,254 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39fdqe,1420010,636 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3aq8b6,1420010,630 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39456k,1420010,630 kgCO2e,1 m3,Flowable_Concrete_Fill
ec31n7k8,1469923,58 kgCO2e,1 m3,Flowable_Concrete_Fill
ec360w0a,150,146 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3j16kp,150,128 kgCO2e,1 m3,Flowable_Concrete_Fill
ec39wjxq,150,142 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3y1qbj,150,149 kgCO2e,1 m3,Flowable_Concrete_Fill
ec357bbh,1518444,150 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3j9u7b,1518444,204 kgCO2e,1 m3,Flowable_Concrete_Fill
ec37gefa,1518444,207 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3649fh,1518444,151 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3qsa5z,1518444,166 kgCO2e,1 m3,Flowable_Concrete_Fill
ec385py5,1518444,153 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3g6x66,1522173,98.3 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3atjpy,1522173,98.6 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3sqxt7,1522173,93.6 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3n9xz8,1522173,100 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3xdd5e,1522173,96.9 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3bxgha,1522946,221 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3wj558,1522946,220 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3em46x,1522946,272 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3m1k87,1523445,97.2 kgCO2e,1 m3,Flowable_Concrete_Fill
ec3ex0w9,1523445,96 kgCO2e,1 m3,Flowable_Concrete_Fill
