ID,name,gwp,declared_unit,category
ec3tzadm,"1"" DensGlass® Shaftliner Gypsum Panel",522 kgCO2e,1000 ft2,Gypsum_Board
ec32pye8,1/2 in. (12.7 mm) Sheetrock® Brand Glass-Mat Panels Mold Tough®,251 kgCO2e,1000 ft2,Gypsum_Board
ec3nthm0,"1/2"" DensDeck® Prime Roof Board",465 kgCO2e,1000 ft2,Gypsum_Board
ec3w1jtf,"1/2"" ToughRock® Fireguard C® Gypsum Panel 1/2” Type C (Generic name)",296 kgCO2e,1000 ft2,Gypsum_Board
ec3jm7cp,"1/2"" ToughRock® Lite-Weight",213 kgCO2e,1000 ft2,Gypsum_Board
ec32p7es,"1/2"" ToughRock® Lite-Weight Gypsum Board",206 kgCO2e,1000 ft2,Gypsum_Board
ec3zqdjq,"1/2"" ToughRock® Mold-Guard™ Gypsum Panel",237 kgCO2e,1000 ft2,Gypsum_Board
ec35n87r,"1/4"" DensDeck® Prime Roof Board",375 kgCO2e,1000 ft2,Gypsum_Board
ec35z4af,3/8 in. (9.5 mm) Sheetrock® Brand Gypsum Panels,151 kgCO2e,1000 ft2,Gypsum_Board
ec3s66qr,5/8 in. (15.9 mm) Sheetrock Brand EcoSmart Panels Mold Tough Firecode X,277 kgCO2e,1000 ft2,Gypsum_Board
ec35x08r,5/8 in. (15.9 mm) Sheetrock® Brand EcoSmart Panels Firecode® X,219 kgCO2e,1000 sf,Gypsum_Board
ec3n80q1,5/8 in. (15.9 mm) Sheetrock® Brand Mold Tough® Panels Firecode® X,260 kgCO2e,1000 ft2,Gypsum_Board
ec3dgphj,5/8 in. (15.9 mm) Sheetrock® Brand Mold Tough® Panels Firecode® X,309 kgCO2e,1000 sf,Gypsum_Board
ec36e1fe,5/8 in. (15.9mm) Sheetrock Brand EcoSmart Panels Mold Tough Firecode X,248 kgCO2e,92.9 m2,Gypsum_Board
ec33fp7p,"5/8"" DensArmor Plus® Abuse Resistant Gypsum Panel",534 kgCO2e,1000 ft2,Gypsum_Board
ec3xngqw,"5/8"" DensArmor Plus® C Gypsum Panel",462 kgCO2e,1000 ft2,Gypsum_Board
ec3fu0jh,"5/8"" DensArmor Plus® Impact Gypsum Panel",631 kgCO2e,1000 ft2,Gypsum_Board
ec3fas5k,"5/8"" DensArmor Plus® X Gypsum Panel",444 kgCO2e,1000 ft2,Gypsum_Board
ec37n2q6,"5/8"" DensDeck® Prime Roof Board",520 kgCO2e,1000 ft2,Gypsum_Board
ec39uct2,"5/8"" DensDeck® Roof Board",377 kgCO2e,1000 ft2,Gypsum_Board
ec32ayws,"5/8"" DensShield® Tile Backer",562 kgCO2e,1000 ft2,Gypsum_Board
