ID,name,gwp,declared_unit,category
ec3c32ea,#8 3000psi ASH EXP STD,296 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec38z34f,#8 4000 ASH FLOW GRTPUMPCONC,365 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3eqcaw,1175976,655 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3rshfe,133,349 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec31erfw,1332447,353 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ax2ws,1332447,357 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3drxx7,137,410 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ajt6h,137135C1,254 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3mhz7t,1393679,268 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3y76tz,1393679,268 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3n8pua,1412910,406 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3d62qb,1412921,500 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ee5kx,142115C1,280 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec38p6ju,1471150A,348 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec37q3hs,147115C1,307 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3swqgd,147115CA,306 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec37h5qr,147115D4,291 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3puqc3,147115EA,276 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3twuse,147135CA,305 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3urdt5,1471C5E1,271 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec34swq6,14H115VA,230 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec38tswz,14H11VVA,229 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3mk5wt,14H135RA,241 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ea2f1,152115CA,331 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec379ejh,1526301,522 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3fhmk8,1526301,527 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ed8t7,1528037,440 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec36xp87,1528467,373 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3d8mqt,1530902,275 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3cqzp0,1530902,275 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3wurt9,1547309,354 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ukxwy,1550237,301 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3qsfae,1550237,301 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec36emg3,1554693,287 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec37kmqh,1555049,262 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3fajxj,1555656,239 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3zs9x2,1555657,277 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3y569f,1555657,277 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec30yttx,1555658,315 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3tgwyk,1556313,315 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3zxq6f,1558341,290 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3rj3d0,1561150A,410 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3sr07d,156115CA,357 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec342nta,15613501,411 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3x84hg,1561350A,409 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ttunw,156135C1,358 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec329nmn,156135D1,341 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3m6ybj,156135E1,321 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3k5jy9,1561C5C1,352 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3jggcd,1561C5CA,351 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3x565r,15G115VA,261 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3mugcd,15G135R1,280 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3b8tmy,1600922,304 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3cmwaq,1600922,304 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3724ep,1601049,303 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3aftux,16011501,429 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3a9c12,1604848,675 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ur443,1608307,398 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec36hhp4,161115D4,365 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3kg9ng,1611663,521 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3uyass,1611663,521 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3kjt63,1612953,634 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3gkxnh,1613148,503 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3utjwf,1616952,469 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3b7u68,1618210,271 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec343gzb,1618460,332 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3w7p1m,1618460,332 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3z8bbw,1618471,332 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3rfwk3,1618471,332 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3f210z,1619111,456 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec36qfry,1619111,456 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec350ne5,1621035,481.4379064 kgCO2e,1 m^3,High_Strength_Cement-Based_Grout
ec35q5w5,1621035,491 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3ue7wz,1621035,491 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec36twht,1623261,573 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3pkj4n,1624679,270 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3duers,163135C1,394 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec369feb,163135D1,375 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec33yp2q,163135E1,357 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
ec3szqzd,1631C5C1,389 kgCO2e,1 m3,High_Strength_Cement-Based_Grout
