ID,name,gwp,declared_unit,category
ec3ywuq6,Fabricated HSS,1850 kgCO2e,1 t,Hollow_Sections
ec33pas9,Fabricated HSS,1920 kgCO2e,1 t,Hollow_Sections
ec3n7mzg,"Fabricated HSS - Blytheville, AR (Jumbo) - AVERAGE STEEL SUPPLY MIX",1520 kgCO2e,1 metric ton,Hollow_Sections
ec3xbqgp,"Fabricated HSS - Blytheville, AR – AVERAGE STEEL SUPPLY MIX",1630 kgCO2e,1 metric ton,Hollow_Sections
ec3trb6q,Fabricated Hollow Structural Sections,1520 kgCO2e,1 metric ton,Hollow_Sections
ec3tcxy6,"Fabricated Hollow Structural Sections (HSS) - Birmingham, AL - Average Steel Supply Mix",1460 kgCO2e,1 metric ton,Hollow_Sections
ec32aeek,Fabricated Hollow structural steel sections (average),1941.3 kgCO2e,1 t,Hollow_Sections
ec3mw25d,Fabricated Steel Hollow Structural Sections,1680 kgCO2e,1 short ton,Hollow_Sections
ec3pdhmu,Fabricated Steel Hollow Structural Sections,1640 kgCO2e,1 short ton,Hollow_Sections
ec3ebamy,Fabricated Steel Hollow Structural Sections,1690 kgCO2e,1 short ton,Hollow_Sections
ec3wmhtc,Fabricated hollow structural sections (average),1400 kgCO2e,1 metric ton,Hollow_Sections
ec3k7r3t,Steel Mechanical Tubing,2720 kgCO2e,1 t,Hollow_Sections
ec36bkfk,Steel Pipe and Tube,2090 kgCO2e,1 t,Hollow_Sections
ec3828ey,Unfabricated HSS,1650 kgCO2e,1 t,Hollow_Sections
ec3qbej6,Unfabricated HSS,1580 kgCO2e,1 t,Hollow_Sections
ec3k75ss,"Unfabricated HSS - Blytheville, AR (Jumbo) - AVERAGE STEEL SUPPLY MIX",1280 kgCO2e,1 metric ton,Hollow_Sections
ec329kzq,"Unfabricated HSS - Blytheville, AR – AVERAGE STEEL SUPPLY MIX",1380 kgCO2e,1 metric ton,Hollow_Sections
ec3cy492,"Unfabricated Hollow Structural Sections (HSS) - Birmingham, AL - Average Steel Supply Mix",1220 kgCO2e,1 metric ton,Hollow_Sections
ec3qecn4,Unfabricated Low-Embodied Carbon (LEC) Steel Pipe and Tube,1370 kgCO2e,1 metric ton,Hollow_Sections
ec3y0jpq,Unfabricated Steel Hollow Structural Sections,1400 kgCO2e,1 short ton,Hollow_Sections
ec3guhzu,Unfabricated Steel Hollow Structural Sections,1440 kgCO2e,1 short ton,Hollow_Sections
ec3a0yq6,Unfabricated hollow structural sections (average),1170 kgCO2e,1 metric ton,Hollow_Sections
