ID,name,gwp,declared_unit,category
cqd3d1ks,"Insulated Metal Roof Deck Panels - RD1 2"", 22 / 26 ga Polyvinyl Chloride Roof membrane",3150 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdqwxnw,"Insulated Metal Roof Deck Panels - RD1 2"", 22 / 26 ga Thermoplastic Polyolefin roof membrane",3150 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd8sr2e,"Insulated Metal Roof Deck Panels - RD1 2.5"", 22 / 26 ga Polyvinyl Chloride Roof membrane",3320 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd7hx5a,"Insulated Metal Roof Deck Panels - RD1 2.5"", 22 / 26 ga Thermoplastic Polyolefin roof membrane",3320 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdae8wu,"Insulated Metal Roof Deck Panels - RD1 2.5"", 26 / 26 ga Polyvinyl Chloride Roof membrane",2910 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd633r7,"Insulated Metal Roof Deck Panels - RD1 2.5"", 26/ 26 ga Thermoplastic Polyolefin roof membrane",2910 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd6ndnx,"Insulated Metal Roof Deck Panels - RD1 3"", 22 / 26 ga Polyvinyl Chloride Roof membrane",3480 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdu7ksj,"Insulated Metal Roof Deck Panels - RD1 3"", 22 / 26 ga Thermoplastic Polyolefin roof membrane",3480 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdatbzj,"Insulated Metal Roof Deck Panels - RD1 3"", 26 / 26 ga Polyvinyl Chloride Roof membrane",3070 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd91g56,"Insulated Metal Roof Deck Panels - RD1 3"", 26 / 26 ga Thermoplastic Polyolefin roof membrane",3070 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd7fs67,"Insulated Metal Roof Deck Panels - RD1 4"",  22 / 26 ga Thermoplastic Polyolefin roof membrane",3820 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd2mf1p,"Insulated Metal Roof Deck Panels - RD1 4"", 22 / 26 ga Polyvinyl Chloride Roof membrane",3820 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdnsnfp,"Insulated Metal Roof Deck Panels - RD1 4"", 26 / 26 ga Polyvinyl Chloride Roof membrane",3410 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd5xt2t,"Insulated Metal Roof Deck Panels - RD1 4"", 26 / 26 ga Thermoplastic Polyolefin roof membrane",3410 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd3buhu,"Insulated Metal Roof Deck Panels - RD1 5"", 22 / 26 ga Thermoplastic Polyolefin roof membrane",4150 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdzfkjm,"Insulated Metal Roof Deck Panels - RD1 5"", 26 / 26 ga Thermoplastic Polyolefin roof membrane",3740 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd6k9nd,"Insulated Metal Roof Deck Panels - RD1 6"", 22 / 26 ga Polyvinyl Chloride Roof membrane",5140 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdruj4q,"Insulated Metal Roof Deck Panels - RD1 6"", 26 / 26 ga Thermoplastic Polyolefin roof membrane",4080 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd1a46x,"Insulated Metal Roof Deck Panels - RD1 8"", 22 / 26 ga Thermoplastic Polyolefin roof membrane",5160 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdup8dk,"Insulated Metal Roof Deck Panels - RD1 8"", 26 / 26 ga Thermoplastic Polyolefin roof membrane",4750 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd6hnm0,"Insulated Metal Roof Panels - CW36 2'', 26 ga",2750 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd2j562,"Insulated Metal Roof Panels - CW36 6'', 22 ga",5180 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdsb0gh,"Insulated Metal Roof Panels - HR3 2"" , 26 ga",2720 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdw9ced,"Insulated Metal Roof Panels - HR3 6"" , 22 ga",5100 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd3dm77,"Insulated Metal Roof Panels - HR5 2"" , 26 ga",2700 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdqmt3w,"Insulated Metal Roof Panels - HR5 6"" , 22 ga",5050 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdgznt7,"Insulated Metal Roof Panels - SR2 2"" , 26 ga",2720 kgCO2e,100 m^2,Insulated_Roof_Panels
cqddh683,"Insulated Metal Roof Panels - SR2 6"" , 22 ga",5080 kgCO2e,100 m^2,Insulated_Roof_Panels
cqd6b2n6,"OneDek Roof Deck Panels - RD1 2"" , 26 ga",2740 kgCO2e,100 m^2,Insulated_Roof_Panels
cqdext0a,"OneDek Roof Deck Panels - RD1 6"" , 22 ga",5140 kgCO2e,100 m^2,Insulated_Roof_Panels
