ID,name,gwp,declared_unit,category
ec3hzcnm,IMP 2 in Sheridan,3590 kgCO2e,100 m2,Insulated_Wall_Panels
ec34kj6h,IMP 2 in Sheridan,3960 kgCO2e,100 m2,Insulated_Wall_Panels
ec3swm9g,IMP 2.5 in Sheridan,4090 kgCO2e,100 m2,Insulated_Wall_Panels
ec307ysn,IMP 2.5 in Sheridan,3960 kgCO2e,100 m2,Insulated_Wall_Panels
ec3pznz1,IMP 2.75 in Sheridan,3920 kgCO2e,100 m2,Insulated_Wall_Panels
ec34sdgd,IMP 3 in Sheridan,3830 kgCO2e,100 m2,Insulated_Wall_Panels
ec3bp7fz,IMP 3 in Sheridan,4040 kgCO2e,100 m2,Insulated_Wall_Panels
ec37acjh,IMP 4 in Sheridan,4530 kgCO2e,100 m2,Insulated_Wall_Panels
cqdh2d95,"Insulated Metal Roof Deck Panels - RD1 2"", 26 / 26 ga Polyvinyl Chloride Roof membrane",2740 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdhkr1r,"Insulated Metal Roof Deck Panels - RD1 2"", 26 / 26 ga Thermoplastic Polyolefin roof membrane",2740 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdee282,"Insulated Metal Roof Deck Panels - RD1 5"", 22 / 26 ga Polyvinyl Chloride Roof membrane",4150 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdbqe0u,"Insulated Metal Roof Deck Panels - RD1 5"", 26 / 26 ga Polyvinyl Chloride Roof membrane",3740 kgCO2e,100 m^2,Insulated_Wall_Panels
cqddn7wp,"Insulated Metal Roof Deck Panels - RD1 6"", 26 / 26 ga Polyvinyl Chloride Roof membrane",4080 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdsk4d4,"Insulated Metal Roof Deck Panels - RD1 8"", 22 / 26 ga Polyvinyl Chloride Roof membrane",5160 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdu6n97,"Insulated Metal Roof Deck Panels - RD1 8"", 26 / 26 ga Polyvinyl Chloride Roof membrane",4750 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdfyrdk,"Insulated Metal Roof Deck Panels - RD1, 6"", 22 / 26 ga Thermoplastic Polyolefin roof membrane",5140 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdsj6y6,"Insulated Metal Wall Panels - CW36 2'', 26 ga",2750 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdk5f34,"Insulated Metal Wall Panels - CW36 6'', 22 ga",5180 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdwnqbj,"Insulated Metal Wall Panels - DM36 2'', 26 ga",2720 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdz15bs,"Insulated Metal Wall Panels - DM36 6'', 22 ga",5100 kgCO2e,100 m^2,Insulated_Wall_Panels
cqd45hfe,"Insulated Metal Wall Panels - DM40 2'', 26 ga",2720 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdc0ff6,"Insulated Metal Wall Panels - DM40 6'', 22 ga",5080 kgCO2e,100 m^2,Insulated_Wall_Panels
cqd80wjj,"Insulated Metal Wall Panels - FL36 2'', 26 ga",2720 kgCO2e,100 m^2,Insulated_Wall_Panels
cqd74eb8,"Insulated Metal Wall Panels - FL36 6'', 22 ga",5100 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdajyzc,"Insulated Metal Wall Panels - FL40 2'', 26 ga",2710 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdxms7b,"Insulated Metal Wall Panels - FL40 6'', 22 ga",5060 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdf2xpa,"Insulated Metal Wall Panels - HE40 2'', 26 ga",2720 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdw7uh9,"Insulated Metal Wall Panels - HE40 6'', 22 ga",5080 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdq69pj,"Insulated Metal Wall Panels - HE40A 2'', 26 ga",2730 kgCO2e,100 m^2,Insulated_Wall_Panels
cqd9ksn3,"Insulated Metal Wall Panels - HE40A 6'', 22 ga",5090 kgCO2e,100 m^2,Insulated_Wall_Panels
cqd6fyq7,"Insulated Metal Wall Panels - ST36 2'', 26 ga",2700 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdp944h,"Insulated Metal Wall Panels - ST36 6'', 22 ga",5040 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdr1m2e,"Insulated Metal Wall Panels - ST40 2'', 26 ga",2700 kgCO2e,100 m^2,Insulated_Wall_Panels
cqdkk68q,"Insulated Metal Wall Panels - ST40 6'', 22 ga",5050 kgCO2e,100 m^2,Insulated_Wall_Panels
