ID,name,gwp,declared_unit,category
ec3z75fy,Chilewich BioFelt Flooring,10.4 kgCO2e,1 m2,Other_Flooring
ec35bq32,Desco #597-MVT,0.626 kgCO2e,1 m^2,Other_Flooring
ec3tadb7,Desco 2200,5.99 kgCO2e,1 m^2,Other_Flooring
ec3yben7,Desco 500,1.11 kgCO2e,1 m^2,Other_Flooring
ec3fq9a3,Desco 6500,2.18 kgCO2e,1 m^2,Other_Flooring
ec37rftb,Desco Hydrabond,1.94 kgCO2e,1 m^2,Other_Flooring
ec3f3eck,Key #502 - Epoxy Primer/Low Modulus Binder,1.11 kgCO2e,1 m^2,Other_Flooring
ec3hpkny,Key #510 - Epoxy Binder & Coating,5.99 kgCO2e,1 m^2,Other_Flooring
ec3x6swj,Key #520 - Epoxy Coating,2.18 kgCO2e,1 m^2,Other_Flooring
ec3581qn,Key #597 MVT - Epoxy Moisture Mitigation Primer,0.626 kgCO2e,1 m^2,Other_Flooring
ec3juqc3,Key Epocoat - Moisture Mitigation Epoxy Resin,1.94 kgCO2e,1 m^2,Other_Flooring
