ID,name,gwp,declared_unit,category
ec3r4wm2,1527837,395 kgCO2e,1 m3,Paving
ec3tj0kd,1527837,392 kgCO2e,1 m3,Paving
ec3hdedt,1553358,283 kgCO2e,1 m3,Paving
ec3sugb9,1621528,317 kgCO2e,1 m3,Paving
ec39xxyk,1621528,318 kgCO2e,1 m3,Paving
ec3r6334,1622386,344 kgCO2e,1 m3,Paving
ec3ft65s,5000508,326.5666154 kgCO2e,1 m^3,Paving
ec30egky,652115C1,326 kgCO2e,1 m3,Paving
ec3gw4s3,652115C1,381 kgCO2e,1 m3,Paving
ec3kdach,652115C1,380 kgCO2e,1 m3,Paving
ec3w51md,652115C1,339 kgCO2e,1 m3,Paving
ec3ey3aj,652115C1,331 kgCO2e,1 m3,Paving
ec3eturm,Mix 1592095,297 kgCO2e,1 m3,Paving
ec3ujfks,Mix 1592095,290 kgCO2e,1 m3,Paving
ec3xdb9j,Mix 1596919,187 kgCO2e,1 m3,Paving
ec36f3bm,Mix 1596919,216 kgCO2e,1 m3,Paving
ec3xr0b2,Mix 1615342,340 kgCO2e,1 m3,Paving
ec31qscw,Mix 1615342,344 kgCO2e,1 m3,Paving
ec3u77qe,Mix 1615342,344 kgCO2e,1 m3,Paving
ec3wyt85,Mix 1621528,308 kgCO2e,1 m3,Paving
ec3m5sff,Mix 1621528,300 kgCO2e,1 m3,Paving
ec36gp5b,Mix 1621528,323 kgCO2e,1 m3,Paving
ec33x5up,Mix 1622002,424 kgCO2e,1 m3,Paving
ec3hsawf,Mix 1622386,381 kgCO2e,1 m3,Paving
ec32wwg0,Mix 1622575,303 kgCO2e,1 m3,Paving
ec3xw3ek,Mix 1622575,329 kgCO2e,1 m3,Paving
ec3jj2d1,Mix 1623331,306 kgCO2e,1 m3,Paving
ec3gjr13,Mix 1623331,308 kgCO2e,1 m3,Paving
ec3p8jak,Mix 1623891,324 kgCO2e,1 m3,Paving
ec3cf288,Mix 1626319,362 kgCO2e,1 m3,Paving
ec37dcaz,Mix U4003800,265 kgCO2e,1 m3,Paving
ec3t836c,Mix U4003800,265 kgCO2e,1 m3,Paving
ec3zzdfg,Mix U40038VX,248 kgCO2e,1 m3,Paving
ec311xq1,Mix U40038VX,250 kgCO2e,1 m3,Paving
ec34kmgr,Mix U40038VX,245 kgCO2e,1 m3,Paving
ec3ebeus,Mix U40038VX,250 kgCO2e,1 m3,Paving
ec3n3ebe,Mix U40038VX,239 kgCO2e,1 m3,Paving
ec31p051,Mix U40038VX,241 kgCO2e,1 m3,Paving
ec3e561b,Mix U40038VX,247 kgCO2e,1 m3,Paving
ec3as2s1,Mix U40038VX,250 kgCO2e,1 m3,Paving
ec3xyuq0,Mix U40038VX,248 kgCO2e,1 m3,Paving
ec3a7sjm,Mix U40038VX,238 kgCO2e,1 m3,Paving
ec3as5cs,Mix U40038VX,230 kgCO2e,1 m3,Paving
ec3q4zyk,Mix U40038VX,299 kgCO2e,1 m3,Paving
ec3xkpks,Mix U54038VC,327 kgCO2e,1 m3,Paving
ec3usz9f,U4003800,277 kgCO2e,1 m3,Paving
ec3steg4,U4003800,302 kgCO2e,1 m3,Paving
ec39zf1a,U4003800,326 kgCO2e,1 m3,Paving
ec3wdg0q,U40038VX,257 kgCO2e,1 m3,Paving
ec3gw0s7,U43039VX,247 kgCO2e,1 m3,Paving
