ID,name,gwp,declared_unit,category
ec356j2e,1332739,145 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3y4c5e,1332739,146 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3rqfsr,1393695,144 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3ffefa,1393911,92.2 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3mut3x,1587049,503 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3exuyb,214,162 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3ywerc,800,454 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3gwytd,800,456 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3hxe8m,800,456 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec360znt,F0K100G5,256 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3skq37,F0K100G5,250 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3ww1b6,F0K100G5,258 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3bw0c1,F0K100G5,264 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec320gq1,F0K100G5,280 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec32f09c,F0K100G5,258 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec39jhjm,F0K100G5,253 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3r2hdt,F50100K7,199 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3w6zqs,F50100K7,198 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec38ycaj,F50100K7,204 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3s7dy5,Mix 1333010,339 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3y6nzu,Mix 1526250,136 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec31j69w,Mix 800,505 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3xtz0d,Mix 800,500 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec372px6,Mix 800,500 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3kg7ag,Mix 800,500 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3a3z4s,Mix F0K100G5,297 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3aaauz,Mix F0K100G5,232 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3bd8g0,Mix F0K100G5,250 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3dq9uk,Mix F0K100G5,293 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3kpte9,Mix F0K100G5,258 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3hz7jz,Mix F0K100G5,293 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3e0umc,Mix F0K100G5,260 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec39c599,Mix F0K100G5,251 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec38b9a7,Mix F0K100G5,260 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec37m58x,Mix F0K100G5,241 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3kxjyq,Mix F0K100G5,258 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3d2dsf,Mix F0K100G5,293 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3xxym0,Mix F0K100G5,248 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec3y2gxw,Mix F50100K7,187 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
ec36s1ds,Mix F50100K7,179 kgCO2e,1 m3,Petroleum_Industry_Cement_Slurry
