ID,name,gwp,declared_unit,category
wap901td,AMEX Odyssey DC Architectural Insulated Wall,232.5602 kgCO2e,1 t,Precast_Concrete
wapyd7g5,AMEX Odyssey DC Beams,247.57854 kgCO2e,1 t,Precast_Concrete
wapzae1j,AMEX Odyssey DC Column,308.2114 kgCO2e,1 t,Precast_Concrete
waphb0t9,AMEX Odyssey DC Double Tee,238.98299 kgCO2e,1 t,Precast_Concrete
wapa8crn,AMEX Odyssey DC PC Slab,226.41597 kgCO2e,1 t,Precast_Concrete
wap4b5pq,AMEX Odyssey DC PC Stairs,243.19232 kgCO2e,1 t,Precast_Concrete
wap2wu6n,AMEX Odyssey DC Solid PC Walls,241.6772 kgCO2e,1 t,Precast_Concrete
ec3pf5k1,Beams,255.2484 kgCO2e,1 t,Precast_Concrete
ec37j39c,Columns,238.92775 kgCO2e,1 t,Precast_Concrete
ec3a7rbb,Double Tees,241.76164 kgCO2e,1 t,Precast_Concrete
ec3318ph,Insulated Wall,232.02658 kgCO2e,1 t,Precast_Concrete
ec30cbpr,Mix G-Mix NW Shot Blast,156 kgCO2e,1 m3,Precast_Concrete
ec3d4q8s,Mix Normal Wt Concrete,157 kgCO2e,1 m3,Precast_Concrete
ec3szzst,Spandrel,249.6199 kgCO2e,1 t,Precast_Concrete
ec3nwc89,Wall,226.04913 kgCO2e,1 t,Precast_Concrete
