ID,name,gwp,declared_unit,category
ec37nprd,#67,328 kgCO2e,1 m3,Ready_Mix
ec38zdtx,#67,263 kgCO2e,1 m3,Ready_Mix
ec3b7nr8,#67,198 kgCO2e,1 m3,Ready_Mix
ec31tp1r,#67,275 kgCO2e,1 m3,Ready_Mix
ec365kx2,#67,317 kgCO2e,1 m3,Ready_Mix
ec3aqa3f,#67,319 kgCO2e,1 m3,Ready_Mix
ec3dqm2h,#8 3000psi ASH EXP STD,282 kgCO2e,1 m3,Ready_Mix
ec35075y,#8 3000psi ASH EXP STD,294 kgCO2e,1 m3,Ready_Mix
ec3y9mku,#8 3000psi ASH EXP STD,288 kgCO2e,1 m3,Ready_Mix
ec3td7bm,#8 3000psi ASH EXP STD,287 kgCO2e,1 m3,Ready_Mix
ec3tm2tf,#8 3000psi ASH EXP STD,285 kgCO2e,1 m3,Ready_Mix
ec338hmu,#8 3000psi ASH EXP STD,294 kgCO2e,1 m3,Ready_Mix
ec3y44m5,#8 3000psi ASH EXP STD,284 kgCO2e,1 m3,Ready_Mix
ec35dxgk,#8 3000psi ASH EXP STD,288 kgCO2e,1 m3,Ready_Mix
ec3dw6e9,#8 3000psi ASH EXP STD,284 kgCO2e,1 m3,Ready_Mix
ec392tt7,#8 3000psi ASH EXP STD,299 kgCO2e,1 m3,Ready_Mix
ec36z2ew,#8 3000psi ASH EXP STD,280 kgCO2e,1 m3,Ready_Mix
ec3ajpw1,#8 3000psi ASH EXP STD,280 kgCO2e,1 m3,Ready_Mix
ec3d9ana,#8 3000psi ASH EXP STD,299 kgCO2e,1 m3,Ready_Mix
ec3aqasa,#8 3000psi ASH EXP STD,285 kgCO2e,1 m3,Ready_Mix
ec3wwdat,#8 3000psi ASH EXP STD,299 kgCO2e,1 m3,Ready_Mix
ec39w1uq,#8 3000psi ASH EXP STD,285 kgCO2e,1 m3,Ready_Mix
ec3p67dd,#8 3000psi ASH EXP STD,287 kgCO2e,1 m3,Ready_Mix
ec3een5t,#8 3000psi ASH EXP STD,284 kgCO2e,1 m3,Ready_Mix
ec3cc5mg,#8 3000psi ASH EXP STD,285 kgCO2e,1 m3,Ready_Mix
ec30f6tr,#8 3000psi ASH EXP STD,299 kgCO2e,1 m3,Ready_Mix
ec3hkx4m,#8 3000psi ASH EXP STD,299 kgCO2e,1 m3,Ready_Mix
ec3tetfb,#8 4000 ASH FLOW GRTPUMPCONC,355 kgCO2e,1 m3,Ready_Mix
ec3rke27,#8 4000 ASH FLOW GRTPUMPCONC,353 kgCO2e,1 m3,Ready_Mix
ec3uf554,#8 4000 ASH FLOW GRTPUMPCONC,368 kgCO2e,1 m3,Ready_Mix
ec37jdsu,#8 4000 ASH FLOW GRTPUMPCONC,350 kgCO2e,1 m3,Ready_Mix
ec3rphye,#8 4000 ASH FLOW GRTPUMPCONC,367 kgCO2e,1 m3,Ready_Mix
ec39f48w,#8 4000 ASH FLOW GRTPUMPCONC,367 kgCO2e,1 m3,Ready_Mix
ec3u041q,#8 4000 ASH FLOW GRTPUMPCONC,350 kgCO2e,1 m3,Ready_Mix
ec3k7kp0,#8 4000 ASH FLOW GRTPUMPCONC,357 kgCO2e,1 m3,Ready_Mix
ec33qd9r,#8 4000 ASH FLOW GRTPUMPCONC,368 kgCO2e,1 m3,Ready_Mix
ec3bsgr6,#8 4000 ASH FLOW GRTPUMPCONC,364 kgCO2e,1 m3,Ready_Mix
ec3xj63b,#8 4000 ASH FLOW GRTPUMPCONC,367 kgCO2e,1 m3,Ready_Mix
ec3j3dt5,#8 4000 ASH FLOW GRTPUMPCONC,354 kgCO2e,1 m3,Ready_Mix
ec3f8ebp,#8 4000 ASH FLOW GRTPUMPCONC,354 kgCO2e,1 m3,Ready_Mix
ec3hrzxk,#8 4000 ASH FLOW GRTPUMPCONC,364 kgCO2e,1 m3,Ready_Mix
