ID,name,gwp,declared_unit,category
ec3u183a,Concrete Reinforcing Bar and Merchant Bar Mill Product,738 kgCO2e,1 t,Reinforcing_Bar
ec3dmrxn,Concrete Reinforcing Bar and Merchant Bar Mill Product,963 kgCO2e,1 t,Reinforcing_Bar
ec3ux61j,Concrete Reinforcing Steel Bar (at Mill),707 kgCO2e,1 t,Reinforcing_Bar
ec35cuug,Concrete Reinforcing Steel Bar (at Mill),598 kgCO2e,1 t,Reinforcing_Bar
ec3f5tue,Concrete reinforcing steel,726 kgCO2e,1 t,Reinforcing_Bar
ec3u76nh,Concrete reinforcing steel,850 kgCO2e,1 t,Reinforcing_Bar
ec348u6q,Epoxy-Coated Fabricated Steel Rebar,850 kgCO2e,1 metric ton,Reinforcing_Bar
ec3yjxr2,Fabricated Carbon Steel Rebar,1000 kgCO2e,1 metric ton,Reinforcing_Bar
ec30ue0j,Fabricated Concrete Reinforcing Bar and Merchant Bar,1060 kgCO2e,1 t,Reinforcing_Bar
ec3mfbpd,Fabricated Concrete Reinforcing Bar and Merchant Bar,862.9 kgCO2e,1 t,Reinforcing_Bar
ec3dnp40,Fabricated Concrete Reinforcing Bar and Merchant Bar,825 kgCO2e,1 t,Reinforcing_Bar
ec3k80dx,Fabricated Rebar - Conco,780 kgCO2e,1 t,Reinforcing_Bar
ec3c9gje,Fabricated Rebar - JD Steel,600 kgCO2e,1 t,Reinforcing_Bar
ec30r1wx,Fabricated Reinforcing Bar,1000 kgCO2e,1 t,Reinforcing_Bar
ec3gyktb,Fabricated Reinforcing Bar,860 kgCO2e,1 ton,Reinforcing_Bar
ec3yhbpy,"Fabricated Reinforcing Bar (ASTM A615, A706)",860 kgCO2e,1 t,Reinforcing_Bar
ec3xhtwr,"Fabricated Reinforcing Bar (ASTM A615, A706)",1100 kgCO2e,1 t,Reinforcing_Bar
ec382fg8,"Fabricated Reinforcing Bar (ASTM A615, A706)",860 kgCO2e,1 t,Reinforcing_Bar
ec3ue6gn,Fabricated Reinforcing Bar and Welded Wire Reinforcement,860 kgCO2e,1 t,Reinforcing_Bar
ec3guzm2,Fabricated concrete reinforcing steel,934 kgCO2e,1 t,Reinforcing_Bar
ec31q98c,Rebar,707 kgCO2e,1 metric ton,Reinforcing_Bar
ec3sb07t,Rebar,707 kgCO2e,1 metric ton,Reinforcing_Bar
ec3h3ut5,Rebar,707 kgCO2e,1 metric ton,Reinforcing_Bar
ec3hmskt,"Rebar, Rancho Cucamonga, CA Steel Mill",783.1 kgCO2e,1 metric ton,Reinforcing_Bar
ec35x29m,Stainless Steel Reinforcing Bar (secondary production route - scrap),3680 kgCO2e,1 t,Reinforcing_Bar
ec34dq8h,Steel Concrete Reinforcing Bar and Merchant Bar Products (average),755.63 kgCO2e,1 metric ton,Reinforcing_Bar
ec3wstbx,Steel Concrete Reinforcing Bar and Merchant Bar Products-Birmingham (AL) Fabricated,708 kgCO2e,1 metric ton,Reinforcing_Bar
ec3w2gt3,Steel Concrete Reinforcing Bar and Merchant Bar Products-Birmingham (AL) Unfabricated,626 kgCO2e,1 metric ton,Reinforcing_Bar
ec310cnz,Steel Concrete Reinforcing Bar and Merchant Bar Products-Kingman (AZ) Fabricated,828 kgCO2e,1 metric ton,Reinforcing_Bar
ec3w8wrp,Steel Concrete Reinforcing Bar and Merchant Bar Products-Kingman (AZ) Unfabricated,738 kgCO2e,1 metric ton,Reinforcing_Bar
ec3dem42,Steel Reinforcing Bar and Merchant Bar Products (Fabricated) v1,745 kgCO2e,1 t,Reinforcing_Bar
ec3rd63q,Steel Reinforcing Bar and Merchant Bar Products (Fabricated) v1,916 kgCO2e,1 t,Reinforcing_Bar
ec3d3z2w,Steel Reinforcing Bar and Merchant Bar Products (Unfabricated),659 kgCO2e,1 t,Reinforcing_Bar
ec35f2r1,Steel Reinforcing Bar and Merchant Bar Products (Unfabricated) v1,817 kgCO2e,1 t,Reinforcing_Bar
