ID,name,gwp,declared_unit,category
ec3c3ss7,2mm Homogeneous Vinyl Sheet,11.14 kgCO2e,1 ft2,Resilient_Flooring
ec38xkmu,Distinct Designs Rubber Flooring,23 kgCO2e,1 m^2,Resilient_Flooring
ec3jyskb,Envire® Rubber Sheet & Tile,23 kgCO2e,1 m^2,Resilient_Flooring
ec32dpwz,EnviroFlex™ Rubber Sheet & Tile,23 kgCO2e,1 m^2,Resilient_Flooring
ec3q2mc6,Gallant Multi-Use Rubber Tile,48.5 kgCO2e,1 m^2,Resilient_Flooring
ec3cxrzf,Kinetex®,55.05 kgCO2e,1 m2,Resilient_Flooring
ec381y0s,Rubber Floor Tile,29.2 kgCO2e,1 m2,Resilient_Flooring
ec3s1jbe,Solid Vinyl & ESD Static Control Vinyl Tile,10.1 kgCO2e,1 m^2,Resilient_Flooring
ec3y5wg3,Solid Vinyl & ESD Vinyl Tile,12.5 kgCO2e,1 m^2,Resilient_Flooring
ec3tgbut,Tuflex® Force® Premium Engineered Sports Flooring,43.7 kgCO2e,1 m^2,Resilient_Flooring
ec3byc2b,Tuflex® Spartus Multi-Use Rubber Tile,43.7 kgCO2e,1 m^2,Resilient_Flooring
