ID,name,gwp,declared_unit,category
ec3m13rr,#8 4000psi AIR ASH SHOTCRETE,352 kgCO2e,1 m3,Shotcrete
ec3mffgh,#8 4000psi AIR ASH SHOTCRETE,371 kgCO2e,1 m3,Shotcrete
ec3p3ar6,#8 4000psi AIR ASH SHOTCRETE,370 kgCO2e,1 m3,Shotcrete
ec3enszk,#8 4000psi AIR ASH SHOTCRETE,372 kgCO2e,1 m3,Shotcrete
ec3tpy18,#8 4000psi AIR ASH SHOTCRETE,371 kgCO2e,1 m3,Shotcrete
ec3hkp12,#8 4000psi AIR ASH SHOTCRETE,372 kgCO2e,1 m3,Shotcrete
ec30pafy,#8 4000psi AIR ASH SHOTCRETE,355 kgCO2e,1 m3,Shotcrete
ec3k2aer,#8 4000psi AIR ASH SHOTCRETE,362 kgCO2e,1 m3,Shotcrete
ec323bfg,#8 4000psi AIR ASH SHOTCRETE,360 kgCO2e,1 m3,Shotcrete
ec3fgsfy,#8 4000psi AIR ASH SHOTCRETE,371 kgCO2e,1 m3,Shotcrete
ec3r0p7x,#8 4000psi AIR ASH SHOTCRETE,359 kgCO2e,1 m3,Shotcrete
ec34ycpf,#8 4000psi AIR ASH SHOTCRETE,371 kgCO2e,1 m3,Shotcrete
ec38e5hf,#8 4000psi AIR ASH SHOTCRETE,372 kgCO2e,1 m3,Shotcrete
ec3wnpj7,#8 4000psi AIR ASH SHOTCRETE,372 kgCO2e,1 m3,Shotcrete
ec3ck5dh,#8 4000psi AIR ASH SHOTCRETE,373 kgCO2e,1 m3,Shotcrete
ec33mydh,#8 4000psi AIR ASH SHOTCRETE,371 kgCO2e,1 m3,Shotcrete
ec357ak1,#8 4000psi AIR ASH SHOTCRETE,359 kgCO2e,1 m3,Shotcrete
ec3yxrz0,#8 4000psi AIR ASH SHOTCRETE,359 kgCO2e,1 m3,Shotcrete
ec3jre19,#8 4000psi AIR ASH SHOTCRETE,360 kgCO2e,1 m3,Shotcrete
ec3c7axr,#8 4000psi AIR ASH SHOTCRETE,359 kgCO2e,1 m3,Shotcrete
ec3wtw14,1332544,283 kgCO2e,1 m3,Shotcrete
ec3bx1nh,1332544,278 kgCO2e,1 m3,Shotcrete
ec3rkeg7,1332544,278 kgCO2e,1 m3,Shotcrete
ec3k1tqr,1332544,285 kgCO2e,1 m3,Shotcrete
ec3mx4cu,1332544,283 kgCO2e,1 m3,Shotcrete
ec3meurp,1332544,282 kgCO2e,1 m3,Shotcrete
ec3pwgj2,1332544,296 kgCO2e,1 m3,Shotcrete
ec3f4caz,1332544,283 kgCO2e,1 m3,Shotcrete
ec3zddt2,1332544,283 kgCO2e,1 m3,Shotcrete
ec3uy2x4,1332544,296 kgCO2e,1 m3,Shotcrete
ec3p2140,1332544,283 kgCO2e,1 m3,Shotcrete
ec3uj6at,1332544,296 kgCO2e,1 m3,Shotcrete
ec3yr9gh,1332544,282 kgCO2e,1 m3,Shotcrete
ec3wwxt3,1332544,296 kgCO2e,1 m3,Shotcrete
ec3z14xh,1332544,293 kgCO2e,1 m3,Shotcrete
ec3thjpg,1332854,300 kgCO2e,1 m3,Shotcrete
ec3njd7b,1332854,282 kgCO2e,1 m3,Shotcrete
ec3etzas,1332854,300 kgCO2e,1 m3,Shotcrete
ec3dec02,1332854,282 kgCO2e,1 m3,Shotcrete
ec3s0gj7,1530965,450 kgCO2e,1 m3,Shotcrete
ec3pgsqm,1530965,440 kgCO2e,1 m3,Shotcrete
ec30ya0m,1539122,443 kgCO2e,1 m3,Shotcrete
ec3es9h5,1547314,314 kgCO2e,1 m3,Shotcrete
ec318m4d,1552637,433 kgCO2e,1 m3,Shotcrete
ec3j4tc9,1552774,481 kgCO2e,1 m3,Shotcrete
ec3zhg9k,1562160,336 kgCO2e,1 m3,Shotcrete
ec3kdf5x,1564647,351 kgCO2e,1 m3,Shotcrete
ec3up5n1,1564647,351 kgCO2e,1 m3,Shotcrete
ec3annqt,1570461,524 kgCO2e,1 m3,Shotcrete
ec39aqnm,1571046,360 kgCO2e,1 m3,Shotcrete
ec3pm9bq,1571046,379 kgCO2e,1 m3,Shotcrete
ec3sh0bb,1571046,379 kgCO2e,1 m3,Shotcrete
ec3xbp0c,1571046,360 kgCO2e,1 m3,Shotcrete
ec3r67nw,1571048,372 kgCO2e,1 m3,Shotcrete
ec338qgm,1571048,391 kgCO2e,1 m3,Shotcrete
ec3qze29,1571048,351 kgCO2e,1 m3,Shotcrete
ec3dty6x,1571048,391 kgCO2e,1 m3,Shotcrete
ec3rw9q3,1571048,372 kgCO2e,1 m3,Shotcrete
ec30fpm0,1571410,381 kgCO2e,1 m3,Shotcrete
ec3ksbwj,1573772,349 kgCO2e,1 m3,Shotcrete
ec3why76,1573772,390 kgCO2e,1 m3,Shotcrete
ec380n8m,1575802,572 kgCO2e,1 m3,Shotcrete
